[INFO] [1790277061.368593062] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790277061.369589095] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790277061.370421086] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790277061.371450712] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790277061.372674290] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790277070.041485078] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.141497333] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.243747030] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.342375931] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.444411348] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.549482940] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.643831012] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.745597360] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.843600315] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277070.945871144] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277071.047804033] [sage_target_localizer]: Person 3D | pixel=(737.6,632.5) | position=(-0.99,5.84,0.00) | range=5.84 m
[INFO] [1790277071.141011348] [sage_target_localizer]: Person 3D | pixel=(724.8,642.0) | position=(-0.89,6.00,0.00) | range=5.99 m
[INFO] [1790277071.243025458] [sage_target_localizer]: Person 3D | pixel=(724.8,642.0) | position=(-0.89,6.00,0.00) | range=5.99 m
[INFO] [1790277071.348777298] [sage_target_localizer]: Person 3D | pixel=(725.1,642.1) | position=(-0.89,6.03,0.00) | range=6.02 m
[INFO] [1790277071.441773755] [sage_target_localizer]: Person 3D | pixel=(725.1,642.1) | position=(-0.89,6.03,0.00) | range=6.02 m
[INFO] [1790277071.548732846] [sage_target_localizer]: Person 3D | pixel=(725.9,639.3) | position=(-0.91,6.14,0.00) | range=6.13 m
[INFO] [1790277071.644738897] [sage_target_localizer]: Person 3D | pixel=(725.9,639.3) | position=(-0.91,6.14,0.00) | range=6.13 m
[INFO] [1790277071.743308481] [sage_target_localizer]: Person 3D | pixel=(983.2,557.5) | position=(-7.00,11.24,0.00) | range=13.17 m
[INFO] [1790277071.841886819] [sage_target_localizer]: Person 3D | pixel=(983.2,557.5) | position=(-7.00,11.24,0.00) | range=13.17 m
[INFO] [1790277071.941875776] [sage_target_localizer]: Person 3D | pixel=(729.9,636.0) | position=(-0.94,6.18,0.00) | range=6.18 m
