[INFO] [1790294921.137939585] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790294921.138960611] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790294924.007715376] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790294925.003465258] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790294926.004255355] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790294927.004162602] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790294928.004164350] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790294929.004288886] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=0.052 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.7 %
[INFO] [1790294930.008476595] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.051 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790294931.002978958] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.050 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790294932.005580090] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.050 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790294933.003445799] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790294934.003520162] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790294935.003954007] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790294936.004745324] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.3 %
[INFO] [1790294937.007862101] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.3 %
[INFO] [1790294938.004112066] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790294939.007606696] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790294940.011337290] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790294941.003758166] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790294942.003745562] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790294943.009363796] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790294944.003711583] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790294945.003858475] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790294946.003658563] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790294947.008731428] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790294948.012415312] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790294949.004788679] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790294950.010237474] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790294951.003962773] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790294952.006879456] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790294953.013879810] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790294954.003545498] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790294955.003619592] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790294956.003384838] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790294957.008587588] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790294958.003120839] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790294959.004200490] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790294960.006033675] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790294961.007982077] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790294962.003088182] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790294963.003712400] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790294964.011184589] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790294965.011384130] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790294966.007038706] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790294967.007262667] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
