[INFO] [1790309821.681904598] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790309821.683217282] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790309821.684373074] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790309821.685472170] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790309821.686561778] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790309833.165858387] [sage_target_localizer]: Person 3D | pixel=(704.5,659.0) | position=(-0.65,5.37,0.00) | range=5.28 m
[INFO] [1790309833.264829146] [sage_target_localizer]: Person 3D | pixel=(704.5,659.0) | position=(-0.65,5.37,0.00) | range=5.28 m
[INFO] [1790309833.365232827] [sage_target_localizer]: Person 3D | pixel=(705.6,660.3) | position=(-0.67,5.38,0.00) | range=5.29 m
[INFO] [1790309833.470978433] [sage_target_localizer]: Person 3D | pixel=(705.6,660.3) | position=(-0.67,5.38,0.00) | range=5.29 m
[INFO] [1790309833.566811661] [sage_target_localizer]: Person 3D | pixel=(705.6,660.3) | position=(-0.67,5.38,0.00) | range=5.29 m
[INFO] [1790309833.667512788] [sage_target_localizer]: Person 3D | pixel=(706.4,663.0) | position=(-0.67,5.31,0.00) | range=5.23 m
[INFO] [1790309833.770046292] [sage_target_localizer]: Person 3D | pixel=(706.4,663.0) | position=(-0.67,5.31,0.00) | range=5.23 m
[INFO] [1790309833.873038367] [sage_target_localizer]: Person 3D | pixel=(706.4,665.6) | position=(-0.66,5.25,0.00) | range=5.17 m
[INFO] [1790309833.967464704] [sage_target_localizer]: Person 3D | pixel=(706.4,665.6) | position=(-0.66,5.25,0.00) | range=5.17 m
[INFO] [1790309834.072841795] [sage_target_localizer]: Person 3D | pixel=(706.4,665.6) | position=(-0.66,5.25,0.00) | range=5.17 m
[INFO] [1790309838.065898094] [sage_target_localizer]: Person 3D | pixel=(700.8,712.9) | position=(-0.52,4.63,0.00) | range=4.53 m
[INFO] [1790309864.774790606] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309864.869039107] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309864.975282349] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.066002287] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.170519159] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.268158269] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.368087652] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.465065126] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309865.566544523] [sage_target_localizer]: Person 3D | pixel=(699.2,713.3) | position=(-0.49,4.54,0.00) | range=4.46 m
[INFO] [1790309866.569833470] [sage_target_localizer]: Person 3D | pixel=(702.3,715.7) | position=(-0.56,4.51,0.00) | range=4.43 m
[INFO] [1790309866.670616513] [sage_target_localizer]: Person 3D | pixel=(702.3,715.7) | position=(-0.56,4.51,0.00) | range=4.43 m
[INFO] [1790309866.772298572] [sage_target_localizer]: Person 3D | pixel=(702.3,715.7) | position=(-0.56,4.51,0.00) | range=4.43 m
[INFO] [1790309867.065039926] [sage_target_localizer]: Person 3D | pixel=(703.5,717.4) | position=(-0.57,4.48,0.00) | range=4.40 m
[INFO] [1790309867.167960179] [sage_target_localizer]: Person 3D | pixel=(703.5,717.4) | position=(-0.57,4.48,0.00) | range=4.40 m
[INFO] [1790309868.170445073] [sage_target_localizer]: Person 3D | pixel=(705.7,723.1) | position=(-0.56,4.42,0.00) | range=4.33 m
[INFO] [1790309868.265313575] [sage_target_localizer]: Person 3D | pixel=(705.7,723.1) | position=(-0.56,4.42,0.00) | range=4.33 m
[INFO] [1790309869.366872985] [sage_target_localizer]: Person 3D | pixel=(707.9,727.0) | position=(-0.55,4.45,0.00) | range=4.35 m
[INFO] [1790309869.468278818] [sage_target_localizer]: Person 3D | pixel=(707.9,727.0) | position=(-0.55,4.45,0.00) | range=4.35 m
[INFO] [1790309869.768451838] [sage_target_localizer]: Person 3D | pixel=(707.5,723.2) | position=(-0.57,4.47,0.00) | range=4.38 m
[INFO] [1790309869.866256301] [sage_target_localizer]: Person 3D | pixel=(707.5,723.2) | position=(-0.57,4.47,0.00) | range=4.38 m
[INFO] [1790309869.967803525] [sage_target_localizer]: Person 3D | pixel=(705.7,719.9) | position=(-0.56,4.48,0.00) | range=4.40 m
[INFO] [1790309870.067664871] [sage_target_localizer]: Person 3D | pixel=(705.7,719.9) | position=(-0.56,4.48,0.00) | range=4.40 m
[INFO] [1790309870.167405716] [sage_target_localizer]: Person 3D | pixel=(705.9,719.3) | position=(-0.48,3.91,0.00) | range=3.81 m
[INFO] [1790309870.270717474] [sage_target_localizer]: Person 3D | pixel=(705.9,719.3) | position=(-0.48,3.91,0.00) | range=3.81 m
[INFO] [1790309870.367997343] [sage_target_localizer]: Person 3D | pixel=(705.6,719.1) | position=(-0.56,4.47,0.00) | range=4.39 m
[INFO] [1790309870.467853388] [sage_target_localizer]: Person 3D | pixel=(705.6,719.1) | position=(-0.56,4.47,0.00) | range=4.39 m
[INFO] [1790309870.566670645] [sage_target_localizer]: Person 3D | pixel=(705.6,719.1) | position=(-0.56,4.47,0.00) | range=4.39 m
[INFO] [1790309870.676730117] [sage_target_localizer]: Person 3D | pixel=(705.6,719.2) | position=(-0.56,4.46,0.00) | range=4.38 m
[INFO] [1790309870.767292469] [sage_target_localizer]: Person 3D | pixel=(705.6,719.2) | position=(-0.56,4.46,0.00) | range=4.38 m
[INFO] [1790309870.868778009] [sage_target_localizer]: Person 3D | pixel=(705.6,719.2) | position=(-0.56,4.46,0.00) | range=4.38 m
[INFO] [1790309870.967723921] [sage_target_localizer]: Person 3D | pixel=(705.4,720.4) | position=(-0.55,4.44,0.00) | range=4.36 m
[INFO] [1790309871.070277128] [sage_target_localizer]: Person 3D | pixel=(705.4,720.4) | position=(-0.55,4.44,0.00) | range=4.36 m
[INFO] [1790309871.170793123] [sage_target_localizer]: Person 3D | pixel=(704.3,721.5) | position=(-0.54,4.43,0.00) | range=4.34 m
[INFO] [1790309871.266257228] [sage_target_localizer]: Person 3D | pixel=(704.3,721.5) | position=(-0.54,4.43,0.00) | range=4.34 m
[INFO] [1790309871.365508850] [sage_target_localizer]: Person 3D | pixel=(704.3,721.5) | position=(-0.54,4.43,0.00) | range=4.34 m
[INFO] [1790309871.465434809] [sage_target_localizer]: Person 3D | pixel=(705.6,723.5) | position=(-0.52,4.18,0.00) | range=4.09 m
[INFO] [1790309871.565649934] [sage_target_localizer]: Person 3D | pixel=(705.6,723.5) | position=(-0.52,4.18,0.00) | range=4.09 m
[INFO] [1790309875.471437684] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309875.567111194] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309875.666309167] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309875.768077792] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309875.868605336] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309875.966295193] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309876.066285606] [sage_target_localizer]: Person 3D | pixel=(701.1,730.0) | position=(-0.50,4.36,0.00) | range=4.27 m
[INFO] [1790309876.169729441] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.268699034] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.372102018] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.468861182] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.565373133] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.671525200] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.768085789] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.870420667] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309876.965498203] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.070242634] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.170830692] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.268581397] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.370990548] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.467260463] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.567987970] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.669357660] [sage_target_localizer]: Person 3D | pixel=(701.0,731.7) | position=(-0.50,4.34,0.00) | range=4.24 m
[INFO] [1790309877.769516184] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
[INFO] [1790309877.870605207] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
[INFO] [1790309877.978431197] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
[INFO] [1790309878.074559927] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
[INFO] [1790309878.172484557] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
[INFO] [1790309878.267673504] [sage_target_localizer]: Person 3D | pixel=(705.2,733.5) | position=(-0.52,4.32,0.00) | range=4.22 m
