[INFO] [1790309821.175586126] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790309821.178097339] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790309821.178963261] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790309821.180038118] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790309821.180986961] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790309821.183386231] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790309821.184154911] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790309833.166440024] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.65, 5.37, 0.00) | state=STATIONARY
[INFO] [1790309833.267820059] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.65, 5.37, 0.00) | smoothed=(-0.65, 5.37, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790309833.365665254] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.67, 5.38, 0.00) | smoothed=(-0.65, 5.38, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790309833.473675427] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.67, 5.38, 0.00) | smoothed=(-0.66, 5.38, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790309833.567253725] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.67, 5.38, 0.00) | smoothed=(-0.66, 5.38, 0.00) | velocity=(-0.03, 0.01, 0.00) m/s | speed=0.03 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790309833.668195496] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.67, 5.31, 0.00) | smoothed=(-0.66, 5.36, 0.00) | velocity=(-0.03, -0.03, 0.00) m/s | speed=0.05 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790309833.766850688] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.67, 5.31, 0.00) | smoothed=(-0.67, 5.35, 0.00) | velocity=(-0.03, -0.07, 0.00) m/s | speed=0.07 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790309833.873520645] [sage_semantic_world_model]: Target 1 updated | association_distance=0.10 m | raw=(-0.66, 5.25, 0.00) | smoothed=(-0.66, 5.32, 0.00) | velocity=(-0.02, -0.13, 0.00) m/s | speed=0.13 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790309833.968526772] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.66, 5.25, 0.00) | smoothed=(-0.66, 5.30, 0.00) | velocity=(-0.01, -0.18, 0.00) m/s | speed=0.18 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790309834.084324344] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.66, 5.25, 0.00) | smoothed=(-0.66, 5.29, 0.00) | velocity=(-0.00, -0.17, 0.00) m/s | speed=0.17 m/s | net=0.08 m | straightness=0.87 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790309838.067789311] [sage_semantic_world_model]: Target 1 updated | association_distance=0.68 m | raw=(-0.52, 4.63, 0.00) | smoothed=(-0.63, 5.12, 0.00) | velocity=(0.01, -0.05, 0.00) m/s | speed=0.05 m/s | net=0.25 m | straightness=0.94 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790309864.775136804] [sage_semantic_world_model]: Target 1 updated | association_distance=0.60 m | raw=(-0.49, 4.54, 0.00) | smoothed=(-0.60, 4.98, 0.00) | velocity=(0.00, -0.01, 0.00) m/s | speed=0.01 m/s | net=0.40 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=12
