[INFO] [1790215529.575973765] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790215529.576800543] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790215532.477550768] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215533.477453323] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215534.478853456] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215535.483874903] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215536.477874506] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215537.477841302] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.074 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.3 % | margin_after_return=78.0 %
[INFO] [1790215538.479723728] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.071 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790215539.481774126] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.071 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790215540.480045412] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.070 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790215541.476442571] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790215542.476726461] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.068 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790215543.478748314] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790215544.477873732] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790215545.478101219] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.066 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790215546.479497841] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.065 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790215547.478799806] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.064 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790215548.476259882] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.064 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790215549.478604523] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.063 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790215550.476535445] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.064 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790215551.477304999] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.063 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790215552.478206354] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.062 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790215553.477555319] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.061 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790215554.479498762] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.061 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790215555.483766537] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.060 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790215556.477310837] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.059 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790215557.479280893] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.059 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790215558.476574344] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.059 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790215559.477400888] [sage_energy_monitor]: ENERGY | remaining=97.0 % | voltage=16.14 V | drain_rate=0.060 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790215560.476294887] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.060 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.3 % | margin_after_return=76.7 %
[INFO] [1790215561.482216237] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.060 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.3 % | margin_after_return=76.6 %
[INFO] [1790215562.476997571] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.059 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.3 % | margin_after_return=76.6 %
[INFO] [1790215563.477806967] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.059 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.3 % | margin_after_return=76.5 %
[INFO] [1790215564.480009886] [sage_energy_monitor]: ENERGY | remaining=96.7 % | voltage=16.14 V | drain_rate=0.058 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=76.5 %
