[INFO] [1790215529.860357524] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790215529.861310697] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790215529.862086471] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790215529.862898942] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790215529.863554171] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790215529.864180336] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790215529.864776238] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790215536.970845691] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.20, 4.63, 0.00) | state=STATIONARY
[INFO] [1790215537.070481877] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790215537.175606028] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790215537.269040338] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790215537.371804643] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790215537.469215365] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790215537.572199859] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790215537.675452488] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790215537.776344758] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790215537.875489792] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790215537.973912221] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.63, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790215538.077437804] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.18, 4.55, 0.00) | smoothed=(-0.20, 4.61, 0.00) | velocity=(0.01, -0.05, 0.00) m/s | speed=0.05 m/s | net=0.02 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790215538.171636971] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.18, 4.55, 0.00) | smoothed=(-0.19, 4.60, 0.00) | velocity=(0.03, -0.09, 0.00) m/s | speed=0.09 m/s | net=0.04 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790215538.272816792] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.18, 4.55, 0.00) | smoothed=(-0.19, 4.59, 0.00) | velocity=(0.03, -0.12, 0.00) m/s | speed=0.12 m/s | net=0.05 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790215538.379805694] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.18, 4.55, 0.00) | smoothed=(-0.19, 4.58, 0.00) | velocity=(0.04, -0.14, 0.00) m/s | speed=0.14 m/s | net=0.06 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790215538.474532131] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(-0.18, 4.51, 0.00) | smoothed=(-0.19, 4.56, 0.00) | velocity=(0.03, -0.13, 0.00) m/s | speed=0.13 m/s | net=0.07 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790215538.571429945] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.18, 4.51, 0.00) | smoothed=(-0.18, 4.55, 0.00) | velocity=(0.02, -0.12, 0.00) m/s | speed=0.13 m/s | net=0.09 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790215538.676841477] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.19, 4.59, 0.00) | smoothed=(-0.19, 4.56, 0.00) | velocity=(0.01, -0.07, 0.00) m/s | speed=0.07 m/s | net=0.08 m | straightness=0.78 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790215538.773726930] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.19, 4.59, 0.00) | smoothed=(-0.19, 4.57, 0.00) | velocity=(0.00, -0.03, 0.00) m/s | speed=0.03 m/s | net=0.07 m | straightness=0.65 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790215538.868987772] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.19, 4.59, 0.00) | smoothed=(-0.19, 4.57, 0.00) | velocity=(-0.01, 0.03, 0.00) m/s | speed=0.03 m/s | net=0.06 m | straightness=0.56 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790215538.973640916] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.19, 4.59, 0.00) | velocity=(-0.02, 0.10, 0.00) m/s | speed=0.10 m/s | net=0.03 m | straightness=0.24 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790215539.070634544] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.20, 4.63, 0.00) | smoothed=(-0.20, 4.60, 0.00) | velocity=(-0.03, 0.10, 0.00) m/s | speed=0.11 m/s | net=0.00 m | straightness=0.03 | direction=0.00 | state=STATIONARY | detections=22
[INFO] [1790215539.173899582] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.15, 4.69, 0.00) | smoothed=(-0.18, 4.62, 0.00) | velocity=(0.01, 0.14, 0.00) m/s | speed=0.14 m/s | net=0.04 m | straightness=0.31 | direction=0.00 | state=STATIONARY | detections=23
[INFO] [1790215539.281630624] [sage_semantic_world_model]: Target 1 updated | association_distance=0.26 m | raw=(-0.22, 4.88, 0.00) | smoothed=(-0.19, 4.69, 0.00) | velocity=(-0.01, 0.28, 0.00) m/s | speed=0.28 m/s | net=0.11 m | straightness=0.63 | direction=0.00 | state=STATIONARY | detections=24
