[INFO] [1790275367.279536556] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790275367.280377268] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790275367.281084338] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790275367.281808900] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790275367.283265655] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790275375.837863121] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275375.940025043] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.042399819] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.137733708] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.236754862] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.344658694] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.444352369] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.540936153] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.636477610] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.742031818] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.837530674] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275376.940463119] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275377.038504740] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275377.139786616] [sage_target_localizer]: Person 3D | pixel=(675.0,646.2) | position=(-0.33,5.89,0.00) | range=5.80 m
[INFO] [1790275377.238450725] [sage_target_localizer]: Person 3D | pixel=(921.8,573.6) | position=(-4.55,8.96,0.00) | range=9.95 m
[INFO] [1790275377.336894617] [sage_target_localizer]: Person 3D | pixel=(921.8,573.6) | position=(-4.55,8.96,0.00) | range=9.95 m
[INFO] [1790275377.444453207] [sage_target_localizer]: Person 3D | pixel=(921.8,573.6) | position=(-4.55,8.96,0.00) | range=9.95 m
[INFO] [1790275377.538699932] [sage_target_localizer]: Person 3D | pixel=(920.2,573.5) | position=(-5.97,11.79,0.00) | range=13.09 m
[INFO] [1790275377.641462743] [sage_target_localizer]: Person 3D | pixel=(920.2,573.5) | position=(-5.97,11.79,0.00) | range=13.09 m
[INFO] [1790275377.737734990] [sage_target_localizer]: Person 3D | pixel=(920.2,573.5) | position=(-5.97,11.79,0.00) | range=13.09 m
[INFO] [1790275377.836124526] [sage_target_localizer]: Person 3D | pixel=(669.6,689.6) | position=(-0.23,5.28,0.00) | range=5.15 m
[INFO] [1790275377.936682214] [sage_target_localizer]: Person 3D | pixel=(669.6,689.6) | position=(-0.23,5.28,0.00) | range=5.15 m
[INFO] [1790275378.036366524] [sage_target_localizer]: Person 3D | pixel=(669.6,689.6) | position=(-0.23,5.28,0.00) | range=5.15 m
[INFO] [1790275378.140300920] [sage_target_localizer]: Person 3D | pixel=(669.5,693.0) | position=(-0.22,5.22,0.00) | range=5.09 m
[INFO] [1790275378.238127985] [sage_target_localizer]: Person 3D | pixel=(669.5,693.0) | position=(-0.22,5.22,0.00) | range=5.09 m
[INFO] [1790275378.338338161] [sage_target_localizer]: Person 3D | pixel=(669.5,693.0) | position=(-0.22,5.22,0.00) | range=5.09 m
[INFO] [1790275378.437360387] [sage_target_localizer]: Person 3D | pixel=(669.3,695.4) | position=(-0.22,5.20,0.00) | range=5.07 m
[INFO] [1790275378.536387431] [sage_target_localizer]: Person 3D | pixel=(669.3,695.4) | position=(-0.22,5.20,0.00) | range=5.07 m
[INFO] [1790275378.636304383] [sage_target_localizer]: Person 3D | pixel=(669.3,695.4) | position=(-0.22,5.20,0.00) | range=5.07 m
[INFO] [1790275378.742184548] [sage_target_localizer]: Person 3D | pixel=(669.0,694.9) | position=(-0.22,5.24,0.00) | range=5.11 m
[INFO] [1790275378.840861459] [sage_target_localizer]: Person 3D | pixel=(669.0,694.9) | position=(-0.22,5.24,0.00) | range=5.11 m
[INFO] [1790275378.937198923] [sage_target_localizer]: Person 3D | pixel=(669.0,694.9) | position=(-0.22,5.24,0.00) | range=5.11 m
[INFO] [1790275379.037485999] [sage_target_localizer]: Person 3D | pixel=(668.6,694.8) | position=(-0.22,5.27,0.00) | range=5.14 m
[INFO] [1790275379.136101057] [sage_target_localizer]: Person 3D | pixel=(668.6,694.8) | position=(-0.22,5.27,0.00) | range=5.14 m
[INFO] [1790275379.237501358] [sage_target_localizer]: Person 3D | pixel=(668.5,695.6) | position=(-0.19,4.68,0.00) | range=4.55 m
[INFO] [1790275379.336109961] [sage_target_localizer]: Person 3D | pixel=(668.5,695.6) | position=(-0.19,4.68,0.00) | range=4.55 m
[INFO] [1790275379.437635798] [sage_target_localizer]: Person 3D | pixel=(669.0,697.3) | position=(-0.23,5.20,0.00) | range=5.07 m
[INFO] [1790275379.539831500] [sage_target_localizer]: Person 3D | pixel=(669.0,697.3) | position=(-0.23,5.20,0.00) | range=5.07 m
[INFO] [1790275379.636357732] [sage_target_localizer]: Person 3D | pixel=(669.0,697.3) | position=(-0.23,5.20,0.00) | range=5.07 m
[INFO] [1790275379.739415640] [sage_target_localizer]: Person 3D | pixel=(669.0,697.3) | position=(-0.23,5.20,0.00) | range=5.07 m
[INFO] [1790275379.842471057] [sage_target_localizer]: Person 3D | pixel=(670.1,699.2) | position=(-0.24,5.15,0.00) | range=5.02 m
[INFO] [1790275379.936603288] [sage_target_localizer]: Person 3D | pixel=(670.1,699.2) | position=(-0.24,5.15,0.00) | range=5.02 m
[INFO] [1790275380.037569740] [sage_target_localizer]: Person 3D | pixel=(670.1,699.2) | position=(-0.24,5.15,0.00) | range=5.02 m
[INFO] [1790275380.143426134] [sage_target_localizer]: Person 3D | pixel=(672.6,699.6) | position=(-0.27,5.13,0.00) | range=5.01 m
[INFO] [1790275380.239145459] [sage_target_localizer]: Person 3D | pixel=(672.6,699.6) | position=(-0.27,5.13,0.00) | range=5.01 m
[INFO] [1790275380.341018686] [sage_target_localizer]: Person 3D | pixel=(672.6,699.6) | position=(-0.27,5.13,0.00) | range=5.01 m
