[INFO] [1790306692.198958955] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790306692.199817100] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790306692.200562292] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790306692.201302578] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790306692.202108774] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790306692.203000371] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790306692.203758827] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790306741.348155395] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-3.40, 9.14, 0.00) | state=STATIONARY
[INFO] [1790306741.447826500] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-3.40, 9.14, 0.00) | smoothed=(-3.40, 9.14, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790306741.546599144] [sage_semantic_world_model]: Target 1 updated | association_distance=0.37 m | raw=(-3.20, 8.83, 0.00) | smoothed=(-3.35, 9.06, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790306741.650196961] [sage_semantic_world_model]: Target 1 updated | association_distance=0.28 m | raw=(-3.20, 8.83, 0.00) | smoothed=(-3.31, 9.00, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790306741.751272880] [sage_semantic_world_model]: Target 1 updated | association_distance=0.21 m | raw=(-3.20, 8.83, 0.00) | smoothed=(-3.29, 8.96, 0.00) | velocity=(0.29, -0.45, 0.00) m/s | speed=0.53 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790306741.854239279] [sage_semantic_world_model]: Target 1 updated | association_distance=0.16 m | raw=(-3.20, 8.83, 0.00) | smoothed=(-3.26, 8.93, 0.00) | velocity=(0.35, -0.53, 0.00) m/s | speed=0.63 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790306741.951400200] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-3.16, 8.92, 0.00) | smoothed=(-3.24, 8.92, 0.00) | velocity=(0.29, -0.34, 0.00) m/s | speed=0.44 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790306742.051295740] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-3.16, 8.92, 0.00) | smoothed=(-3.22, 8.92, 0.00) | velocity=(0.24, -0.20, 0.00) m/s | speed=0.31 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790306751.449691596] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(1.36, 2.22, 0.00) | state=STATIONARY
[INFO] [1790306751.550290179] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(1.36, 2.22, 0.00) | smoothed=(1.36, 2.22, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790306751.653316626] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(1.36, 2.22, 0.00) | smoothed=(1.36, 2.22, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790306751.750020657] [sage_semantic_world_model]: NEW TARGET | id=3 | class=person | position=(2.10, 4.47, 0.00) | state=STATIONARY
[INFO] [1790306751.850798733] [sage_semantic_world_model]: Target 3 updated | association_distance=0.00 m | raw=(2.10, 4.47, 0.00) | smoothed=(2.10, 4.47, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790306751.948028067] [sage_semantic_world_model]: Target 3 updated | association_distance=0.00 m | raw=(2.10, 4.47, 0.00) | smoothed=(2.10, 4.47, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790306753.232238109] [sage_semantic_world_model]: Target 1 updated | association_distance=1.13 m | raw=(-3.08, 10.05, 0.00) | smoothed=(-3.18, 9.20, 0.00) | velocity=(0.01, 0.02, 0.00) m/s | speed=0.02 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790306753.261649343] [sage_semantic_world_model]: Target 1 updated | association_distance=0.85 m | raw=(-3.08, 10.05, 0.00) | smoothed=(-3.16, 9.41, 0.00) | velocity=(0.01, 0.04, 0.00) m/s | speed=0.04 m/s | net=0.37 m | straightness=0.46 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790306753.351873756] [sage_semantic_world_model]: Target 1 updated | association_distance=0.64 m | raw=(-3.08, 10.05, 0.00) | smoothed=(-3.14, 9.57, 0.00) | velocity=(0.01, 0.06, 0.00) m/s | speed=0.06 m/s | net=0.51 m | straightness=0.53 | direction=0.33 | state=STATIONARY | detections=11
[INFO] [1790306753.451733010] [sage_semantic_world_model]: Target 1 updated | association_distance=0.48 m | raw=(-3.08, 10.05, 0.00) | smoothed=(-3.13, 9.69, 0.00) | velocity=(0.01, 0.07, 0.00) m/s | speed=0.07 m/s | net=0.67 m | straightness=0.68 | direction=0.44 | state=STATIONARY | detections=12
