[INFO] [1790306692.226009009] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790306692.226807078] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790306695.134703543] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.6 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790306696.133892416] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=1.3 m | return_time=5 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790306697.138359703] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=1.9 m | return_time=5 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790306698.135207796] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=2.2 m | return_time=5 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790306699.134462239] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=2.1 m | return_time=5 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790306700.135625708] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=0.045 %/s | home_distance=2.0 m | return_time=5 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790306701.134066909] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.044 %/s | home_distance=1.8 m | return_time=5 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790306702.136439625] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.044 %/s | home_distance=1.6 m | return_time=5 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790306703.133673043] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.043 %/s | home_distance=1.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790306704.135060059] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.043 %/s | home_distance=1.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790306705.133971116] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=0.043 %/s | home_distance=1.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790306706.134240792] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.043 %/s | home_distance=1.6 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790306707.133889555] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=1.6 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
