[INFO] [1790222737.410828137] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790222737.412417598] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790222737.413458905] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790222737.414137010] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790222737.415397859] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790222737.419744469] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790222737.422920954] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790222746.813575058] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-4.24, 6.99, 0.00) | state=STATIONARY
[INFO] [1790222746.913221354] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790222747.013333020] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790222747.118557482] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790222747.209830832] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790222747.312874477] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790222747.420648774] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790222747.517503761] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790222747.614861607] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790222747.710724206] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790222747.812432659] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-4.24, 6.99, 0.00) | smoothed=(-4.24, 6.99, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790222747.915794610] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(0.63, 3.62, 0.00) | state=STATIONARY
[INFO] [1790222748.014121178] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(0.63, 3.62, 0.00) | smoothed=(0.63, 3.62, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790222748.116114461] [sage_semantic_world_model]: Target 2 updated | association_distance=0.02 m | raw=(0.64, 3.60, 0.00) | smoothed=(0.64, 3.62, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790222748.212339597] [sage_semantic_world_model]: Target 2 updated | association_distance=0.02 m | raw=(0.64, 3.60, 0.00) | smoothed=(0.64, 3.61, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790222748.314684520] [sage_semantic_world_model]: Target 2 updated | association_distance=0.02 m | raw=(0.63, 3.59, 0.00) | smoothed=(0.64, 3.61, 0.00) | velocity=(0.01, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790222748.416745434] [sage_semantic_world_model]: Target 2 updated | association_distance=0.02 m | raw=(0.63, 3.59, 0.00) | smoothed=(0.63, 3.60, 0.00) | velocity=(0.00, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790222748.510744216] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(0.63, 3.59, 0.00) | smoothed=(0.63, 3.60, 0.00) | velocity=(-0.00, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790222748.624438160] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(0.63, 3.59, 0.00) | smoothed=(0.63, 3.60, 0.00) | velocity=(-0.01, -0.03, 0.00) m/s | speed=0.03 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790222748.713710842] [sage_semantic_world_model]: Target 2 updated | association_distance=0.03 m | raw=(0.63, 3.57, 0.00) | smoothed=(0.63, 3.59, 0.00) | velocity=(-0.01, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
