[INFO] [1790222737.569837449] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790222737.571373001] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790222768.415663079] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.058 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.7 %
[INFO] [1790222769.418182252] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.058 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.6 %
[INFO] [1790222770.421978239] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.058 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.6 %
[INFO] [1790222771.415605243] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.058 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.5 %
[INFO] [1790222772.416119129] [sage_energy_monitor]: ENERGY | remaining=96.7 % | voltage=16.14 V | drain_rate=0.057 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.5 %
[INFO] [1790222773.417618444] [sage_energy_monitor]: ENERGY | remaining=96.7 % | voltage=16.14 V | drain_rate=0.056 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.4 %
[INFO] [1790222774.418173561] [sage_energy_monitor]: ENERGY | remaining=96.6 % | voltage=16.14 V | drain_rate=0.056 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.4 %
[INFO] [1790222775.423058329] [sage_energy_monitor]: ENERGY | remaining=96.6 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.3 %
[INFO] [1790222776.416881587] [sage_energy_monitor]: ENERGY | remaining=96.5 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=1.7 m | return_time=6 s | return_cost=0.3 % | margin_after_return=76.2 %
[INFO] [1790222777.414581277] [sage_energy_monitor]: ENERGY | remaining=96.5 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=3.4 m | return_time=8 s | return_cost=0.4 % | margin_after_return=76.0 %
[INFO] [1790222778.416844938] [sage_energy_monitor]: ENERGY | remaining=96.4 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=4.5 m | return_time=9 s | return_cost=0.5 % | margin_after_return=75.9 %
[INFO] [1790222779.415116273] [sage_energy_monitor]: ENERGY | remaining=96.3 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=4.9 m | return_time=9 s | return_cost=0.5 % | margin_after_return=75.9 %
[INFO] [1790222780.415396366] [sage_energy_monitor]: ENERGY | remaining=96.3 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=3.7 m | return_time=8 s | return_cost=0.4 % | margin_after_return=75.9 %
[INFO] [1790222781.417033164] [sage_energy_monitor]: ENERGY | remaining=96.2 % | voltage=16.13 V | drain_rate=0.054 %/s | home_distance=1.9 m | return_time=6 s | return_cost=0.3 % | margin_after_return=75.9 %
