[INFO] [1790226160.909250097] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790226160.910056736] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790226160.910857489] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790226160.911710214] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790226160.912597121] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790226169.469042408] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226169.576908160] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226169.669511782] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226169.769591591] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226169.869043910] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226169.977465606] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226170.068703552] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226170.172089684] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226170.276677711] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226170.367979001] [sage_target_localizer]: Person 3D | pixel=(1013.7,716.9) | position=(-1.78,4.67,0.00) | range=4.76 m
[INFO] [1790226170.469589635] [sage_target_localizer]: Person 3D | pixel=(1100.2,500.9) | position=(-10.78,12.12,0.00) | range=16.08 m
[INFO] [1790226170.570032524] [sage_target_localizer]: Person 3D | pixel=(1100.2,500.9) | position=(-10.78,12.12,0.00) | range=16.08 m
[INFO] [1790226170.668689907] [sage_target_localizer]: Person 3D | pixel=(1100.2,500.9) | position=(-10.78,12.12,0.00) | range=16.08 m
[INFO] [1790226170.770796567] [sage_target_localizer]: Person 3D | pixel=(1100.2,500.9) | position=(-10.78,12.12,0.00) | range=16.08 m
[INFO] [1790226170.868881776] [sage_target_localizer]: Person 3D | pixel=(762.9,537.3) | position=(-2.24,8.44,0.00) | range=8.89 m
[INFO] [1790226170.970889459] [sage_target_localizer]: Person 3D | pixel=(762.9,537.3) | position=(-2.24,8.44,0.00) | range=8.89 m
[INFO] [1790226171.073033127] [sage_target_localizer]: Person 3D | pixel=(1099.3,495.4) | position=(-10.69,12.05,0.00) | range=16.13 m
[INFO] [1790226171.169555162] [sage_target_localizer]: Person 3D | pixel=(1099.3,495.4) | position=(-10.69,12.05,0.00) | range=16.13 m
[INFO] [1790226171.268811660] [sage_target_localizer]: Person 3D | pixel=(777.8,539.1) | position=(-2.43,8.58,0.00) | range=9.13 m
[INFO] [1790226171.374061049] [sage_target_localizer]: Person 3D | pixel=(777.8,539.1) | position=(-2.43,8.58,0.00) | range=9.13 m
[INFO] [1790226171.469461784] [sage_target_localizer]: Person 3D | pixel=(1100.0,496.0) | position=(-10.64,12.00,0.00) | range=16.12 m
[INFO] [1790226171.567981344] [sage_target_localizer]: Person 3D | pixel=(1100.0,496.0) | position=(-10.64,12.00,0.00) | range=16.12 m
[INFO] [1790226171.669822579] [sage_target_localizer]: Person 3D | pixel=(1102.2,498.9) | position=(-10.46,11.76,0.00) | range=15.85 m
[INFO] [1790226171.771120957] [sage_target_localizer]: Person 3D | pixel=(1102.2,498.9) | position=(-10.46,11.76,0.00) | range=15.85 m
[INFO] [1790226171.870143934] [sage_target_localizer]: Person 3D | pixel=(1102.2,498.9) | position=(-10.46,11.76,0.00) | range=15.85 m
[INFO] [1790226171.969667742] [sage_target_localizer]: Person 3D | pixel=(797.2,551.6) | position=(-2.28,6.93,0.00) | range=7.49 m
[INFO] [1790226172.068190643] [sage_target_localizer]: Person 3D | pixel=(797.2,551.6) | position=(-2.28,6.93,0.00) | range=7.49 m
[INFO] [1790226172.172471052] [sage_target_localizer]: Person 3D | pixel=(797.2,551.6) | position=(-2.28,6.93,0.00) | range=7.49 m
[INFO] [1790226172.268832162] [sage_target_localizer]: Person 3D | pixel=(1107.5,503.8) | position=(-10.38,11.72,0.00) | range=15.80 m
[INFO] [1790226172.368838356] [sage_target_localizer]: Person 3D | pixel=(1107.5,503.8) | position=(-10.38,11.72,0.00) | range=15.80 m
[INFO] [1790226172.472609333] [sage_target_localizer]: Person 3D | pixel=(1107.5,503.8) | position=(-10.38,11.72,0.00) | range=15.80 m
[INFO] [1790226172.570278871] [sage_target_localizer]: Person 3D | pixel=(813.8,562.3) | position=(-2.52,8.00,0.00) | range=8.58 m
[INFO] [1790226172.667997363] [sage_target_localizer]: Person 3D | pixel=(813.8,562.3) | position=(-2.52,8.00,0.00) | range=8.58 m
[INFO] [1790226172.768451461] [sage_target_localizer]: Person 3D | pixel=(1118.9,517.8) | position=(-8.16,8.94,0.00) | range=12.20 m
[INFO] [1790226172.875408765] [sage_target_localizer]: Person 3D | pixel=(821.9,583.1) | position=(-2.25,7.09,0.00) | range=7.58 m
[INFO] [1790226172.969691828] [sage_target_localizer]: Person 3D | pixel=(821.9,583.1) | position=(-2.25,7.09,0.00) | range=7.58 m
[INFO] [1790226173.073916226] [sage_target_localizer]: Person 3D | pixel=(821.9,583.1) | position=(-2.25,7.09,0.00) | range=7.58 m
[INFO] [1790226173.169295743] [sage_target_localizer]: Person 3D | pixel=(821.9,583.1) | position=(-2.25,7.09,0.00) | range=7.58 m
[INFO] [1790226173.280569126] [sage_target_localizer]: Person 3D | pixel=(824.9,592.6) | position=(-2.14,6.73,0.00) | range=7.17 m
[INFO] [1790226173.371578580] [sage_target_localizer]: Person 3D | pixel=(824.9,592.6) | position=(-2.14,6.73,0.00) | range=7.17 m
[INFO] [1790226173.468594596] [sage_target_localizer]: Person 3D | pixel=(824.9,592.6) | position=(-2.14,6.73,0.00) | range=7.17 m
[INFO] [1790226173.567830979] [sage_target_localizer]: Person 3D | pixel=(824.9,592.6) | position=(-2.14,6.73,0.00) | range=7.17 m
[INFO] [1790226173.678354469] [sage_target_localizer]: Person 3D | pixel=(828.9,608.3) | position=(-2.05,6.42,0.00) | range=6.79 m
[INFO] [1790226173.768930978] [sage_target_localizer]: Person 3D | pixel=(828.9,608.3) | position=(-2.05,6.42,0.00) | range=6.79 m
[INFO] [1790226173.874126926] [sage_target_localizer]: Person 3D | pixel=(829.7,624.3) | position=(-1.55,4.76,0.00) | range=5.13 m
[INFO] [1790226173.974272870] [sage_target_localizer]: Person 3D | pixel=(829.7,624.3) | position=(-1.55,4.76,0.00) | range=5.13 m
[INFO] [1790226174.074018109] [sage_target_localizer]: Person 3D | pixel=(829.7,624.3) | position=(-1.55,4.76,0.00) | range=5.13 m
[INFO] [1790226174.168950846] [sage_target_localizer]: Person 3D | pixel=(828.9,629.6) | position=(-1.90,6.03,0.00) | range=6.27 m
[INFO] [1790226174.269524032] [sage_target_localizer]: Person 3D | pixel=(828.9,629.6) | position=(-1.90,6.03,0.00) | range=6.27 m
[INFO] [1790226174.370803294] [sage_target_localizer]: Person 3D | pixel=(828.7,636.9) | position=(-1.86,5.92,0.00) | range=6.11 m
[INFO] [1790226174.477613725] [sage_target_localizer]: Person 3D | pixel=(828.7,636.9) | position=(-1.86,5.92,0.00) | range=6.11 m
[INFO] [1790226174.570512936] [sage_target_localizer]: Person 3D | pixel=(828.7,636.9) | position=(-1.86,5.92,0.00) | range=6.11 m
[INFO] [1790226174.671862526] [sage_target_localizer]: Person 3D | pixel=(1134.0,566.4) | position=(-8.51,9.65,0.00) | range=12.79 m
[INFO] [1790226174.769453142] [sage_target_localizer]: Person 3D | pixel=(1134.0,566.4) | position=(-8.51,9.65,0.00) | range=12.79 m
[INFO] [1790226174.870008626] [sage_target_localizer]: Person 3D | pixel=(1138.1,575.9) | position=(-8.07,9.11,0.00) | range=12.06 m
[INFO] [1790226174.969339160] [sage_target_localizer]: Person 3D | pixel=(1138.1,575.9) | position=(-8.07,9.11,0.00) | range=12.06 m
[INFO] [1790226175.072796734] [sage_target_localizer]: Person 3D | pixel=(1138.1,575.9) | position=(-8.07,9.11,0.00) | range=12.06 m
[INFO] [1790226175.172238602] [sage_target_localizer]: Person 3D | pixel=(1139.7,579.8) | position=(-8.13,9.13,0.00) | range=12.08 m
[INFO] [1790226175.272298673] [sage_target_localizer]: Person 3D | pixel=(1139.7,579.8) | position=(-8.13,9.13,0.00) | range=12.08 m
[INFO] [1790226175.368594617] [sage_target_localizer]: Person 3D | pixel=(1139.7,579.8) | position=(-8.13,9.13,0.00) | range=12.08 m
[INFO] [1790226175.470929340] [sage_target_localizer]: Person 3D | pixel=(1139.4,588.9) | position=(-7.83,8.78,0.00) | range=11.58 m
[INFO] [1790226175.568526506] [sage_target_localizer]: Person 3D | pixel=(1139.4,588.9) | position=(-7.83,8.78,0.00) | range=11.58 m
[INFO] [1790226175.675978150] [sage_target_localizer]: Person 3D | pixel=(1138.1,590.3) | position=(-6.15,6.99,0.00) | range=9.19 m
[INFO] [1790226175.771318060] [sage_target_localizer]: Person 3D | pixel=(1138.1,590.3) | position=(-6.15,6.99,0.00) | range=9.19 m
[INFO] [1790226175.868890000] [sage_target_localizer]: Person 3D | pixel=(1137.3,593.9) | position=(-7.72,8.65,0.00) | range=11.36 m
[INFO] [1790226175.974219194] [sage_target_localizer]: Person 3D | pixel=(1137.3,593.9) | position=(-7.72,8.65,0.00) | range=11.36 m
[INFO] [1790226176.076416751] [sage_target_localizer]: Person 3D | pixel=(820.8,674.3) | position=(-1.77,5.40,0.00) | range=5.43 m
[INFO] [1790226176.169125357] [sage_target_localizer]: Person 3D | pixel=(820.8,674.3) | position=(-1.77,5.40,0.00) | range=5.43 m
[INFO] [1790226176.275046620] [sage_target_localizer]: Person 3D | pixel=(817.3,676.7) | position=(-1.73,5.33,0.00) | range=5.35 m
[INFO] [1790226176.371732735] [sage_target_localizer]: Person 3D | pixel=(817.3,676.7) | position=(-1.73,5.33,0.00) | range=5.35 m
[INFO] [1790226176.469032192] [sage_target_localizer]: Person 3D | pixel=(817.3,676.7) | position=(-1.73,5.33,0.00) | range=5.35 m
[INFO] [1790226176.569379305] [sage_target_localizer]: Person 3D | pixel=(811.5,678.5) | position=(-1.68,5.26,0.00) | range=5.26 m
[INFO] [1790226176.669867132] [sage_target_localizer]: Person 3D | pixel=(811.5,678.5) | position=(-1.68,5.26,0.00) | range=5.26 m
[INFO] [1790226176.768965452] [sage_target_localizer]: Person 3D | pixel=(811.5,678.5) | position=(-1.68,5.26,0.00) | range=5.26 m
[INFO] [1790226176.871994094] [sage_target_localizer]: Person 3D | pixel=(810.5,678.1) | position=(-1.70,5.25,0.00) | range=5.26 m
[INFO] [1790226176.969553970] [sage_target_localizer]: Person 3D | pixel=(810.5,678.1) | position=(-1.70,5.25,0.00) | range=5.26 m
[INFO] [1790226177.073934063] [sage_target_localizer]: Person 3D | pixel=(809.4,679.6) | position=(-1.69,5.19,0.00) | range=5.20 m
[INFO] [1790226177.167932779] [sage_target_localizer]: Person 3D | pixel=(809.4,679.6) | position=(-1.69,5.19,0.00) | range=5.20 m
[INFO] [1790226177.276325234] [sage_target_localizer]: Person 3D | pixel=(809.4,679.6) | position=(-1.69,5.19,0.00) | range=5.20 m
[INFO] [1790226177.370232806] [sage_target_localizer]: Person 3D | pixel=(808.1,680.3) | position=(-1.69,5.18,0.00) | range=5.20 m
[INFO] [1790226177.467677371] [sage_target_localizer]: Person 3D | pixel=(808.1,680.3) | position=(-1.69,5.18,0.00) | range=5.20 m
[INFO] [1790226177.568117831] [sage_target_localizer]: Person 3D | pixel=(806.6,683.1) | position=(-1.66,5.09,0.00) | range=5.12 m
[INFO] [1790226177.674328799] [sage_target_localizer]: Person 3D | pixel=(806.6,683.1) | position=(-1.66,5.09,0.00) | range=5.12 m
[INFO] [1790226177.771764176] [sage_target_localizer]: Person 3D | pixel=(804.1,684.2) | position=(-1.62,5.02,0.00) | range=5.05 m
[INFO] [1790226177.868062219] [sage_target_localizer]: Person 3D | pixel=(804.1,684.2) | position=(-1.62,5.02,0.00) | range=5.05 m
[INFO] [1790226177.969164246] [sage_target_localizer]: Person 3D | pixel=(804.1,684.2) | position=(-1.62,5.02,0.00) | range=5.05 m
[INFO] [1790226178.070698755] [sage_target_localizer]: Person 3D | pixel=(806.5,683.7) | position=(-1.65,5.04,0.00) | range=5.09 m
[INFO] [1790226178.169838840] [sage_target_localizer]: Person 3D | pixel=(806.5,683.7) | position=(-1.65,5.04,0.00) | range=5.09 m
[INFO] [1790226178.268574609] [sage_target_localizer]: Person 3D | pixel=(808.6,684.2) | position=(-1.65,4.99,0.00) | range=5.06 m
[INFO] [1790226178.372885462] [sage_target_localizer]: Person 3D | pixel=(808.6,684.2) | position=(-1.65,4.99,0.00) | range=5.06 m
[INFO] [1790226178.469041404] [sage_target_localizer]: Person 3D | pixel=(808.6,684.2) | position=(-1.65,4.99,0.00) | range=5.06 m
[INFO] [1790226178.573723854] [sage_target_localizer]: Person 3D | pixel=(807.2,687.5) | position=(-1.59,4.90,0.00) | range=4.97 m
[INFO] [1790226178.667872215] [sage_target_localizer]: Person 3D | pixel=(807.2,687.5) | position=(-1.59,4.90,0.00) | range=4.97 m
[INFO] [1790226178.779321869] [sage_target_localizer]: Person 3D | pixel=(810.2,689.9) | position=(-1.58,4.84,0.00) | range=4.93 m
[INFO] [1790226178.867834448] [sage_target_localizer]: Person 3D | pixel=(810.2,689.9) | position=(-1.58,4.84,0.00) | range=4.93 m
[INFO] [1790226178.972573309] [sage_target_localizer]: Person 3D | pixel=(813.5,691.4) | position=(-1.59,4.81,0.00) | range=4.92 m
[INFO] [1790226179.070507092] [sage_target_localizer]: Person 3D | pixel=(813.5,691.4) | position=(-1.59,4.81,0.00) | range=4.92 m
[INFO] [1790226179.169344814] [sage_target_localizer]: Person 3D | pixel=(813.5,691.4) | position=(-1.59,4.81,0.00) | range=4.92 m
[INFO] [1790226179.269316375] [sage_target_localizer]: Person 3D | pixel=(817.2,692.2) | position=(-1.61,4.80,0.00) | range=4.92 m
[INFO] [1790226179.370742993] [sage_target_localizer]: Person 3D | pixel=(817.2,692.2) | position=(-1.61,4.80,0.00) | range=4.92 m
[INFO] [1790226179.475293489] [sage_target_localizer]: Person 3D | pixel=(817.2,692.2) | position=(-1.61,4.80,0.00) | range=4.92 m
[INFO] [1790226179.573332934] [sage_target_localizer]: Person 3D | pixel=(817.2,692.2) | position=(-1.61,4.80,0.00) | range=4.92 m
[INFO] [1790226179.670614579] [sage_target_localizer]: Person 3D | pixel=(1207.1,626.2) | position=(-6.54,6.27,0.00) | range=8.90 m
[INFO] [1790226179.771182913] [sage_target_localizer]: Person 3D | pixel=(1207.1,626.2) | position=(-6.54,6.27,0.00) | range=8.90 m
[INFO] [1790226179.869956001] [sage_target_localizer]: Person 3D | pixel=(1207.1,626.2) | position=(-6.54,6.27,0.00) | range=8.90 m
[INFO] [1790226179.972752651] [sage_target_localizer]: Person 3D | pixel=(1220.4,629.4) | position=(-6.63,6.24,0.00) | range=8.96 m
[INFO] [1790226180.069117686] [sage_target_localizer]: Person 3D | pixel=(1220.4,629.4) | position=(-6.63,6.24,0.00) | range=8.96 m
[INFO] [1790226180.169331303] [sage_target_localizer]: Person 3D | pixel=(1220.4,629.4) | position=(-6.63,6.24,0.00) | range=8.96 m
[INFO] [1790226180.269214457] [sage_target_localizer]: Person 3D | pixel=(1220.4,629.4) | position=(-6.63,6.24,0.00) | range=8.96 m
[INFO] [1790226180.371500096] [sage_target_localizer]: Person 3D | pixel=(827.7,701.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.468669329] [sage_target_localizer]: Person 3D | pixel=(827.7,701.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.568959227] [sage_target_localizer]: Person 3D | pixel=(829.3,702.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.667890255] [sage_target_localizer]: Person 3D | pixel=(829.3,702.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.769606074] [sage_target_localizer]: Person 3D | pixel=(829.3,702.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.868370334] [sage_target_localizer]: Person 3D | pixel=(829.3,702.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226180.971577622] [sage_target_localizer]: Person 3D | pixel=(829.3,702.6) | position=(-1.63,4.74,0.00) | range=4.89 m
[INFO] [1790226181.070739342] [sage_target_localizer]: Person 3D | pixel=(835.5,705.1) | position=(-1.54,4.30,0.00) | range=4.44 m
[INFO] [1790226181.168955253] [sage_target_localizer]: Person 3D | pixel=(835.5,705.1) | position=(-1.54,4.30,0.00) | range=4.44 m
