[INFO] [1790296040.869854559] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790296040.870654891] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790296040.871488582] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790296040.872419557] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790296040.873262542] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790296051.643615127] [sage_target_localizer]: Person 3D | pixel=(62.7,706.7) | position=(4.46,4.35,0.00) | range=6.20 m
[INFO] [1790296051.743703043] [sage_target_localizer]: Person 3D | pixel=(57.0,707.7) | position=(4.47,4.34,0.00) | range=6.19 m
[INFO] [1790296051.845021453] [sage_target_localizer]: Person 3D | pixel=(57.0,707.7) | position=(4.47,4.34,0.00) | range=6.19 m
[INFO] [1790296051.943815239] [sage_target_localizer]: Person 3D | pixel=(52.0,715.5) | position=(4.38,4.24,0.00) | range=6.05 m
[INFO] [1790296052.042668324] [sage_target_localizer]: Person 3D | pixel=(52.0,715.5) | position=(4.38,4.24,0.00) | range=6.05 m
[INFO] [1790296052.141833933] [sage_target_localizer]: Person 3D | pixel=(52.0,715.5) | position=(4.38,4.24,0.00) | range=6.05 m
[INFO] [1790296052.243620240] [sage_target_localizer]: Person 3D | pixel=(52.3,717.6) | position=(4.39,4.25,0.00) | range=6.05 m
[INFO] [1790296052.350711352] [sage_target_localizer]: Person 3D | pixel=(51.6,718.6) | position=(4.41,4.25,0.00) | range=6.06 m
[INFO] [1790296052.443737508] [sage_target_localizer]: Person 3D | pixel=(51.6,718.6) | position=(4.41,4.25,0.00) | range=6.06 m
[INFO] [1790296052.544151329] [sage_target_localizer]: Person 3D | pixel=(52.5,719.4) | position=(4.40,4.24,0.00) | range=6.05 m
[INFO] [1790296052.644746764] [sage_target_localizer]: Person 3D | pixel=(52.5,719.4) | position=(4.40,4.24,0.00) | range=6.05 m
[INFO] [1790296052.744559025] [sage_target_localizer]: Person 3D | pixel=(53.9,727.8) | position=(4.26,4.12,0.00) | range=5.85 m
[INFO] [1790296052.847072498] [sage_target_localizer]: Person 3D | pixel=(53.9,727.8) | position=(4.26,4.12,0.00) | range=5.85 m
[INFO] [1790296052.942770257] [sage_target_localizer]: Person 3D | pixel=(58.9,732.5) | position=(4.18,4.09,0.00) | range=5.76 m
[INFO] [1790296053.048174854] [sage_target_localizer]: Person 3D | pixel=(58.9,732.5) | position=(4.18,4.09,0.00) | range=5.76 m
[INFO] [1790296053.142730176] [sage_target_localizer]: Person 3D | pixel=(58.9,732.5) | position=(4.18,4.09,0.00) | range=5.76 m
[INFO] [1790296053.244743065] [sage_target_localizer]: Person 3D | pixel=(64.8,735.2) | position=(4.13,4.10,0.00) | range=5.72 m
[INFO] [1790296053.344343563] [sage_target_localizer]: Person 3D | pixel=(64.8,735.2) | position=(4.13,4.10,0.00) | range=5.72 m
[INFO] [1790296053.442855613] [sage_target_localizer]: Person 3D | pixel=(64.8,735.2) | position=(4.13,4.10,0.00) | range=5.72 m
[INFO] [1790296053.547491438] [sage_target_localizer]: Person 3D | pixel=(69.7,745.2) | position=(3.98,4.01,0.00) | range=5.54 m
[INFO] [1790296053.642795249] [sage_target_localizer]: Person 3D | pixel=(69.7,745.2) | position=(3.98,4.01,0.00) | range=5.54 m
[INFO] [1790296053.744678740] [sage_target_localizer]: Person 3D | pixel=(76.2,750.7) | position=(3.90,3.97,0.00) | range=5.44 m
[INFO] [1790296053.843043482] [sage_target_localizer]: Person 3D | pixel=(76.2,750.7) | position=(3.90,3.97,0.00) | range=5.44 m
[INFO] [1790296053.942607089] [sage_target_localizer]: Person 3D | pixel=(76.2,750.7) | position=(3.90,3.97,0.00) | range=5.44 m
[INFO] [1790296054.042024039] [sage_target_localizer]: Person 3D | pixel=(84.9,756.3) | position=(3.81,3.91,0.00) | range=5.32 m
[INFO] [1790296054.147191916] [sage_target_localizer]: Person 3D | pixel=(84.9,756.3) | position=(3.81,3.91,0.00) | range=5.32 m
[INFO] [1790296054.243965592] [sage_target_localizer]: Person 3D | pixel=(93.3,756.1) | position=(3.82,3.94,0.00) | range=5.34 m
[INFO] [1790296054.342705424] [sage_target_localizer]: Person 3D | pixel=(93.3,756.1) | position=(3.82,3.94,0.00) | range=5.34 m
[INFO] [1790296054.442739085] [sage_target_localizer]: Person 3D | pixel=(93.3,756.1) | position=(3.82,3.94,0.00) | range=5.34 m
[INFO] [1790296054.543413680] [sage_target_localizer]: Person 3D | pixel=(97.2,764.5) | position=(3.70,3.81,0.00) | range=5.16 m
[INFO] [1790296054.644473276] [sage_target_localizer]: Person 3D | pixel=(97.2,764.5) | position=(3.70,3.81,0.00) | range=5.16 m
[INFO] [1790296054.744276348] [sage_target_localizer]: Person 3D | pixel=(97.2,764.5) | position=(3.70,3.81,0.00) | range=5.16 m
[INFO] [1790296054.841940476] [sage_target_localizer]: Person 3D | pixel=(98.7,763.7) | position=(2.94,3.12,0.00) | range=4.16 m
[INFO] [1790296054.953867466] [sage_target_localizer]: Person 3D | pixel=(98.7,763.7) | position=(2.94,3.12,0.00) | range=4.16 m
[INFO] [1790296055.043360510] [sage_target_localizer]: Person 3D | pixel=(97.9,766.3) | position=(3.68,3.76,0.00) | range=5.13 m
[INFO] [1790296055.146960334] [sage_target_localizer]: Person 3D | pixel=(97.9,766.3) | position=(3.68,3.76,0.00) | range=5.13 m
[INFO] [1790296055.242848324] [sage_target_localizer]: Person 3D | pixel=(96.0,769.9) | position=(3.64,3.71,0.00) | range=5.07 m
[INFO] [1790296055.347483156] [sage_target_localizer]: Person 3D | pixel=(95.5,771.3) | position=(3.63,3.68,0.00) | range=5.05 m
[INFO] [1790296055.444334704] [sage_target_localizer]: Person 3D | pixel=(95.5,771.3) | position=(3.63,3.68,0.00) | range=5.05 m
[INFO] [1790296055.549186066] [sage_target_localizer]: Person 3D | pixel=(95.5,771.3) | position=(3.63,3.68,0.00) | range=5.05 m
[INFO] [1790296055.644662704] [sage_target_localizer]: Person 3D | pixel=(90.0,776.3) | position=(3.07,3.15,0.00) | range=4.26 m
