[INFO] [1790296040.749052426] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790296040.749979611] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790296043.638859330] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790296044.638775175] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790296045.638771259] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790296046.638060323] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790296047.639650274] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790296048.642102954] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790296049.647084435] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.047 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790296050.640541836] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790296051.640450341] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.046 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790296052.639005446] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.045 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790296053.639945564] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.045 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790296054.641388886] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.045 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
