[INFO] [1790215101.375915679] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790215101.376732503] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790215101.377404989] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790215101.379918947] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790215101.380649448] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790215101.389836367] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790215101.396423735] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790215108.730791776] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.31, 5.27, 0.00) | state=STATIONARY
[INFO] [1790215108.834956873] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790215108.937200782] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790215109.032191572] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790215109.131820862] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790215109.235724621] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790215109.333592692] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790215109.431303029] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790215109.532894695] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790215109.645866816] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790215109.739488507] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790215109.834805612] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.31, 5.27, 0.00) | smoothed=(-0.31, 5.27, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=12
