[INFO] [1790215101.556622419] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790215101.557435822] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790215102.414239185] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215103.406501688] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215104.408767344] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215105.406773343] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215106.407158981] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790215107.406938989] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.075 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790215108.406048893] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.075 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790215109.416000681] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.074 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790215110.406664046] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.072 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790215111.406029568] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.072 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790215112.406378616] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.072 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
