[INFO] [1790349113.183008709] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790349113.183718919] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790349113.184330701] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790349113.186760670] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790349113.189925474] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790349122.326578052] [sage_target_localizer]: Person 3D | pixel=(396.4,725.9) | position=(1.77,4.23,0.00) | range=4.46 m
[INFO] [1790349122.425858707] [sage_target_localizer]: Person 3D | pixel=(396.4,725.9) | position=(1.77,4.23,0.00) | range=4.46 m
[INFO] [1790349122.529761484] [sage_target_localizer]: Person 3D | pixel=(400.6,732.5) | position=(1.72,4.16,0.00) | range=4.36 m
[INFO] [1790349122.626603272] [sage_target_localizer]: Person 3D | pixel=(400.6,732.5) | position=(1.72,4.16,0.00) | range=4.36 m
[INFO] [1790349122.729843256] [sage_target_localizer]: Person 3D | pixel=(400.6,732.5) | position=(1.72,4.16,0.00) | range=4.36 m
[INFO] [1790349122.827514822] [sage_target_localizer]: Person 3D | pixel=(404.9,733.3) | position=(1.71,4.16,0.00) | range=4.34 m
[INFO] [1790349122.928444327] [sage_target_localizer]: Person 3D | pixel=(404.9,733.3) | position=(1.71,4.16,0.00) | range=4.34 m
[INFO] [1790349123.031317069] [sage_target_localizer]: Person 3D | pixel=(404.9,733.3) | position=(1.71,4.16,0.00) | range=4.34 m
[INFO] [1790349123.426305637] [sage_target_localizer]: Person 3D | pixel=(408.7,732.5) | position=(1.72,4.18,0.00) | range=4.36 m
[INFO] [1790349123.527888060] [sage_target_localizer]: Person 3D | pixel=(408.7,732.5) | position=(1.72,4.18,0.00) | range=4.36 m
[INFO] [1790349123.626628534] [sage_target_localizer]: Person 3D | pixel=(408.7,732.5) | position=(1.72,4.18,0.00) | range=4.36 m
[INFO] [1790349123.730579484] [sage_target_localizer]: Person 3D | pixel=(408.7,732.5) | position=(1.72,4.18,0.00) | range=4.36 m
[INFO] [1790349124.829757093] [sage_target_localizer]: Person 3D | pixel=(417.0,729.0) | position=(1.68,4.14,0.00) | range=4.32 m
[INFO] [1790349124.926438507] [sage_target_localizer]: Person 3D | pixel=(417.0,729.0) | position=(1.68,4.14,0.00) | range=4.32 m
[INFO] [1790349125.026101770] [sage_target_localizer]: Person 3D | pixel=(417.0,729.0) | position=(1.68,4.14,0.00) | range=4.32 m
[INFO] [1790349125.128631173] [sage_target_localizer]: Person 3D | pixel=(417.6,726.8) | position=(1.69,4.17,0.00) | range=4.35 m
