[INFO] [1790349113.176444505] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790349113.177814538] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790349114.034872690] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790349115.038746709] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790349116.034144103] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790349117.032135939] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.2 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790349118.032541007] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790349119.031449792] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=0.038 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.8 %
[INFO] [1790349120.032170525] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=0.038 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790349121.034410337] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.038 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790349122.031722760] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.037 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790349123.036849781] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.037 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.6 %
[INFO] [1790349124.032503154] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.036 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.6 %
