[INFO] [1790285902.640703727] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790285902.641500371] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790285905.536766572] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.5 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790285906.536757673] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.5 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790285907.535375574] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.5 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790285908.535123235] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.7 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790285909.535949457] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.9 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790285910.534202633] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.050 %/s | home_distance=1.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790285911.534051241] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790285912.534999672] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790285913.538469298] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.3 %
[INFO] [1790285914.533712112] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.6 m | return_time=5 s | return_cost=0.2 % | margin_after_return=78.3 %
[INFO] [1790285915.534902120] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.050 %/s | home_distance=1.6 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790285916.533447299] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790285917.534990957] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=1.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790285918.534601745] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.7 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790285919.533560755] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.7 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790285920.534200158] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.8 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790285921.536667020] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.9 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790285922.538490951] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.8 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790285923.538948583] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.048 %/s | home_distance=0.7 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790285924.533811571] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.048 %/s | home_distance=0.7 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790285925.537708486] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.8 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790285926.541321248] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.8 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790285927.538222061] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.9 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790285928.534036752] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=0.9 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790285929.535703200] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=1.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790285930.533880686] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.047 %/s | home_distance=1.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790285931.534134445] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.046 %/s | home_distance=1.2 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790285932.539821155] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.046 %/s | home_distance=1.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790285933.533371700] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.046 %/s | home_distance=1.6 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790285934.533974737] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.046 %/s | home_distance=1.8 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790285935.534228467] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=1.9 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790285936.534963453] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=2.0 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790285937.533333345] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.046 %/s | home_distance=2.0 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790285938.540882638] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=2.0 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790285939.535444733] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=1.9 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790285940.536953384] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=1.8 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790285941.533806030] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.045 %/s | home_distance=1.7 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790285942.540056481] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=1.7 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790285943.537593181] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=1.7 m | return_time=5 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790285944.534455429] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=1.6 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790285945.536152826] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.043 %/s | home_distance=1.4 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790285946.534365170] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.044 %/s | home_distance=1.2 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790285947.533081550] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.043 %/s | home_distance=1.2 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790285948.534204449] [sage_energy_monitor]: ENERGY | remaining=97.0 % | voltage=16.15 V | drain_rate=0.043 %/s | home_distance=1.2 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790285949.538215272] [sage_energy_monitor]: ENERGY | remaining=97.0 % | voltage=16.14 V | drain_rate=0.042 %/s | home_distance=1.2 m | return_time=5 s | return_cost=0.2 % | margin_after_return=76.8 %
