[INFO] [1790212131.261893163] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790212131.262975862] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790212135.146784541] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790212136.146605508] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.2 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790212137.146575468] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.2 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790212138.153731725] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.2 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790212139.146053650] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.2 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790212140.149683960] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790212141.152421097] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790212142.152179718] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.068 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790212143.148374503] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.068 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790212144.146728642] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790212145.146169355] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.6 %
[INFO] [1790212146.148143371] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.5 %
[INFO] [1790212147.146956646] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.1 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790212148.146428090] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.15 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.3 %
