[INFO] [1790212131.769710179] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790212131.770433492] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790212131.771315816] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790212131.772522340] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790212131.774671263] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790212131.779417193] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790212131.784649420] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790212138.365552471] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.23, 3.87, 0.00) | state=STATIONARY
[INFO] [1790212138.462945434] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790212138.561753999] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790212138.667297235] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790212138.760471034] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790212138.866798635] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790212138.966512342] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790212139.063193679] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790212139.173798093] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790212139.270851915] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790212139.362380892] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.23, 3.87, 0.00) | smoothed=(-0.23, 3.87, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790212139.460642079] [sage_semantic_world_model]: Target 1 updated | association_distance=0.46 m | raw=(-0.11, 4.31, 0.00) | smoothed=(-0.20, 3.98, 0.00) | velocity=(0.07, 0.28, 0.00) m/s | speed=0.29 m/s | net=0.11 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790212139.566157788] [sage_semantic_world_model]: Target 1 updated | association_distance=0.34 m | raw=(-0.11, 4.31, 0.00) | smoothed=(-0.18, 4.06, 0.00) | velocity=(0.13, 0.49, 0.00) m/s | speed=0.51 m/s | net=0.20 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790212139.672208145] [sage_semantic_world_model]: Target 1 updated | association_distance=0.18 m | raw=(-0.13, 4.24, 0.00) | smoothed=(-0.17, 4.11, 0.00) | velocity=(0.16, 0.59, 0.00) m/s | speed=0.61 m/s | net=0.25 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790212139.762866744] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(-0.13, 4.24, 0.00) | smoothed=(-0.16, 4.14, 0.00) | velocity=(0.19, 0.67, 0.00) m/s | speed=0.70 m/s | net=0.28 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790212139.862600832] [sage_semantic_world_model]: Target 1 updated | association_distance=0.25 m | raw=(-0.13, 4.39, 0.00) | smoothed=(-0.15, 4.20, 0.00) | velocity=(0.13, 0.55, 0.00) m/s | speed=0.57 m/s | net=0.34 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790212139.968749487] [sage_semantic_world_model]: Target 1 updated | association_distance=0.19 m | raw=(-0.13, 4.39, 0.00) | smoothed=(-0.15, 4.25, 0.00) | velocity=(0.08, 0.46, 0.00) m/s | speed=0.47 m/s | net=0.39 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790212140.067701124] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(-0.13, 4.39, 0.00) | smoothed=(-0.14, 4.28, 0.00) | velocity=(0.05, 0.44, 0.00) m/s | speed=0.45 m/s | net=0.42 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790212140.163762065] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.14, 4.35, 0.00) | smoothed=(-0.14, 4.30, 0.00) | velocity=(0.03, 0.40, 0.00) m/s | speed=0.40 m/s | net=0.44 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790212140.268310042] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.14, 4.35, 0.00) | smoothed=(-0.14, 4.31, 0.00) | velocity=(0.02, 0.27, 0.00) m/s | speed=0.27 m/s | net=0.45 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790212140.373033715] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.14, 4.35, 0.00) | smoothed=(-0.14, 4.32, 0.00) | velocity=(0.01, 0.18, 0.00) m/s | speed=0.18 m/s | net=0.35 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790212140.464116631] [sage_semantic_world_model]: Target 1 updated | association_distance=0.21 m | raw=(-0.15, 4.53, 0.00) | smoothed=(-0.14, 4.37, 0.00) | velocity=(-0.00, 0.22, 0.00) m/s | speed=0.22 m/s | net=0.31 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=22
