[WARN] [1790212131.854826771] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790212131.859329089] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790212131.860488263] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790212131.860998671] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790212131.861551880] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790212131.862008132] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790212142.464266379] [sage_target_localizer]: Person 3D | pixel=(405.7,587.1) | position=(-0.20,4.76,0.00) | range=4.58 m
[INFO] [1790212142.561411543] [sage_target_localizer]: Person 3D | pixel=(405.7,587.1) | position=(-0.20,4.76,0.00) | range=4.58 m
[INFO] [1790212142.661359477] [sage_target_localizer]: Person 3D | pixel=(406.5,580.1) | position=(-0.20,4.92,0.00) | range=4.72 m
[INFO] [1790212142.759932509] [sage_target_localizer]: Person 3D | pixel=(406.5,580.1) | position=(-0.20,4.92,0.00) | range=4.72 m
[INFO] [1790212142.859698569] [sage_target_localizer]: Person 3D | pixel=(406.5,580.1) | position=(-0.20,4.92,0.00) | range=4.72 m
[INFO] [1790212142.964400436] [sage_target_localizer]: Person 3D | pixel=(407.3,575.6) | position=(-0.20,4.98,0.00) | range=4.77 m
[INFO] [1790212143.063119698] [sage_target_localizer]: Person 3D | pixel=(407.3,575.6) | position=(-0.20,4.98,0.00) | range=4.77 m
[INFO] [1790212143.163335306] [sage_target_localizer]: Person 3D | pixel=(407.3,575.6) | position=(-0.20,4.98,0.00) | range=4.77 m
[INFO] [1790212143.259871638] [sage_target_localizer]: Person 3D | pixel=(411.2,569.0) | position=(-0.22,5.08,0.00) | range=4.84 m
[INFO] [1790212143.370674272] [sage_target_localizer]: Person 3D | pixel=(411.2,569.0) | position=(-0.22,5.08,0.00) | range=4.84 m
[INFO] [1790212143.463428020] [sage_target_localizer]: Person 3D | pixel=(411.2,569.0) | position=(-0.22,5.08,0.00) | range=4.84 m
[INFO] [1790212143.561527211] [sage_target_localizer]: Person 3D | pixel=(414.7,561.6) | position=(-0.23,5.27,0.00) | range=5.02 m
[INFO] [1790212143.660233933] [sage_target_localizer]: Person 3D | pixel=(414.7,561.6) | position=(-0.23,5.27,0.00) | range=5.02 m
