[INFO] [1790290127.481929474] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790290127.482974010] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790290127.483665479] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790290127.484347125] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790290127.485048798] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790290140.158634435] [sage_target_localizer]: Person 3D | pixel=(738.0,705.8) | position=(-0.84,4.30,0.00) | range=4.25 m
[INFO] [1790290140.270721664] [sage_target_localizer]: Person 3D | pixel=(741.8,706.3) | position=(-0.86,4.28,0.00) | range=4.24 m
[INFO] [1790290140.357837171] [sage_target_localizer]: Person 3D | pixel=(741.8,706.3) | position=(-0.86,4.28,0.00) | range=4.24 m
[INFO] [1790290140.457839547] [sage_target_localizer]: Person 3D | pixel=(741.7,706.5) | position=(-0.87,4.29,0.00) | range=4.25 m
[INFO] [1790290140.557625917] [sage_target_localizer]: Person 3D | pixel=(741.7,706.5) | position=(-0.87,4.29,0.00) | range=4.25 m
[INFO] [1790290140.658640526] [sage_target_localizer]: Person 3D | pixel=(741.0,705.5) | position=(-0.87,4.32,0.00) | range=4.28 m
[INFO] [1790290140.761241828] [sage_target_localizer]: Person 3D | pixel=(741.4,705.7) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290140.862110442] [sage_target_localizer]: Person 3D | pixel=(741.4,705.7) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290140.958248791] [sage_target_localizer]: Person 3D | pixel=(741.4,705.7) | position=(-0.87,4.32,0.00) | range=4.29 m
[INFO] [1790290141.058488928] [sage_target_localizer]: Person 3D | pixel=(741.1,704.0) | position=(-0.87,4.35,0.00) | range=4.32 m
[INFO] [1790290141.168274802] [sage_target_localizer]: Person 3D | pixel=(741.1,704.0) | position=(-0.87,4.35,0.00) | range=4.32 m
