[INFO] [1790290127.608901566] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790290127.611211029] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790290127.612019416] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790290127.612948943] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790290127.613754619] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790290127.615345676] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790290127.616506356] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790290135.958729120] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-6.07, 7.39, 0.00) | state=STATIONARY
[INFO] [1790290136.062856902] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790290136.159921780] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790290136.258417079] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790290136.361247610] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790290136.462854563] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790290136.570162363] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790290136.661144553] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790290136.764873206] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790290136.862814308] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790290136.963413777] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.07, 7.39, 0.00) | smoothed=(-6.07, 7.39, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790290137.070716804] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-0.79, 4.58, 0.00) | state=STATIONARY
[INFO] [1790290137.162354847] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.79, 4.58, 0.00) | smoothed=(-0.79, 4.58, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790290137.272751757] [sage_semantic_world_model]: Target 1 updated | association_distance=1.19 m | raw=(-5.78, 8.53, 0.00) | smoothed=(-6.00, 7.67, 0.00) | velocity=(0.12, 0.48, 0.00) m/s | speed=0.49 m/s | net=0.30 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790290137.363662932] [sage_semantic_world_model]: Target 1 updated | association_distance=0.89 m | raw=(-5.78, 8.53, 0.00) | smoothed=(-5.94, 7.89, 0.00) | velocity=(0.21, 0.84, 0.00) m/s | speed=0.86 m/s | net=0.52 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=13
[INFO] [1790290137.468433387] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.77, 4.54, 0.00) | smoothed=(-0.79, 4.57, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790290137.559477355] [sage_semantic_world_model]: Target 2 updated | association_distance=0.03 m | raw=(-0.77, 4.54, 0.00) | smoothed=(-0.78, 4.56, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790290137.660794001] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-0.76, 4.51, 0.00) | smoothed=(-0.78, 4.55, 0.00) | velocity=(0.03, -0.05, 0.00) m/s | speed=0.06 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790290137.760724252] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.76, 4.51, 0.00) | smoothed=(-0.77, 4.54, 0.00) | velocity=(0.04, -0.07, 0.00) m/s | speed=0.08 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790290137.858405079] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-0.74, 4.47, 0.00) | smoothed=(-0.76, 4.52, 0.00) | velocity=(0.06, -0.12, 0.00) m/s | speed=0.13 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790290137.963000208] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.74, 4.47, 0.00) | smoothed=(-0.76, 4.51, 0.00) | velocity=(0.06, -0.13, 0.00) m/s | speed=0.14 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790290138.067196424] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.74, 4.48, 0.00) | smoothed=(-0.75, 4.50, 0.00) | velocity=(0.06, -0.12, 0.00) m/s | speed=0.13 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790290138.168502419] [sage_semantic_world_model]: Target 2 updated | association_distance=0.03 m | raw=(-0.74, 4.48, 0.00) | smoothed=(-0.75, 4.49, 0.00) | velocity=(0.05, -0.11, 0.00) m/s | speed=0.12 m/s | net=0.09 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=10
