[INFO] [1790223765.969361738] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790223765.970532751] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790223765.971438536] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790223765.972323356] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790223765.973080799] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790223774.956504517] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.054943689] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.157448265] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.258378405] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.354063753] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.456735695] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.557676730] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.654303914] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.756342779] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.854530179] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
[INFO] [1790223775.955651096] [sage_target_localizer]: Person 3D | pixel=(702.4,661.7) | position=(-0.77,5.48,0.00) | range=5.10 m
