[INFO] [1790334762.205719698] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790334762.206593835] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790334762.207498609] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790334762.208193591] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790334762.208921860] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790334762.209639301] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790334762.210344583] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790334774.343014338] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.81, 6.09, 0.00) | state=STATIONARY
[INFO] [1790334774.431015125] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.81, 6.09, 0.00) | smoothed=(-0.81, 6.09, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790334774.563596928] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.80, 6.15, 0.00) | smoothed=(-0.81, 6.10, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790334774.635048399] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.80, 6.15, 0.00) | smoothed=(-0.81, 6.11, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790334774.731955877] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.81, 6.06, 0.00) | smoothed=(-0.81, 6.10, 0.00) | velocity=(0.01, 0.03, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790334774.833423657] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.81, 6.06, 0.00) | smoothed=(-0.81, 6.09, 0.00) | velocity=(0.01, 0.01, 0.00) m/s | speed=0.02 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790334774.933870529] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(-0.79, 5.95, 0.00) | smoothed=(-0.80, 6.05, 0.00) | velocity=(0.01, -0.12, 0.00) m/s | speed=0.12 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790334775.034750227] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.79, 5.95, 0.00) | smoothed=(-0.80, 6.03, 0.00) | velocity=(0.01, -0.21, 0.00) m/s | speed=0.21 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790334775.133248269] [sage_semantic_world_model]: Target 1 updated | association_distance=1.03 m | raw=(-0.68, 5.01, 0.00) | smoothed=(-0.77, 5.77, 0.00) | velocity=(0.09, -0.82, 0.00) m/s | speed=0.82 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790334775.235582678] [sage_semantic_world_model]: Target 1 updated | association_distance=0.77 m | raw=(-0.68, 5.01, 0.00) | smoothed=(-0.75, 5.58, 0.00) | velocity=(0.15, -1.26, 0.00) m/s | speed=1.27 m/s | net=0.51 m | straightness=0.90 | direction=0.75 | state=STATIONARY | detections=10
[INFO] [1790334775.347029643] [sage_semantic_world_model]: Target 1 updated | association_distance=0.58 m | raw=(-0.68, 5.01, 0.00) | smoothed=(-0.73, 5.44, 0.00) | velocity=(0.19, -1.53, 0.00) m/s | speed=1.54 m/s | net=0.65 m | straightness=0.92 | direction=0.78 | state=STATIONARY | detections=11
[INFO] [1790334775.431837477] [sage_semantic_world_model]: Target 1 confirmed MOVING | net=0.77 m | avg_speed=0.88 m/s | straightness=0.97 | direction=0.89
