[INFO] [1790334762.750629569] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790334762.751363769] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790334762.752168471] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790334762.752862378] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790334762.753757112] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790334774.338378771] [sage_target_localizer]: Person 3D | pixel=(711.0,626.4) | position=(-0.81,6.09,0.00) | range=6.02 m
[INFO] [1790334774.429366377] [sage_target_localizer]: Person 3D | pixel=(711.0,626.4) | position=(-0.81,6.09,0.00) | range=6.02 m
[INFO] [1790334774.548507985] [sage_target_localizer]: Person 3D | pixel=(709.2,624.7) | position=(-0.80,6.15,0.00) | range=6.08 m
[INFO] [1790334774.630410634] [sage_target_localizer]: Person 3D | pixel=(709.2,624.7) | position=(-0.80,6.15,0.00) | range=6.08 m
[INFO] [1790334774.732417293] [sage_target_localizer]: Person 3D | pixel=(711.0,627.5) | position=(-0.81,6.06,0.00) | range=6.00 m
[INFO] [1790334774.832006979] [sage_target_localizer]: Person 3D | pixel=(711.0,627.5) | position=(-0.81,6.06,0.00) | range=6.00 m
[INFO] [1790334774.931104389] [sage_target_localizer]: Person 3D | pixel=(710.8,631.2) | position=(-0.79,5.95,0.00) | range=5.88 m
[INFO] [1790334775.029861452] [sage_target_localizer]: Person 3D | pixel=(710.8,631.2) | position=(-0.79,5.95,0.00) | range=5.88 m
[INFO] [1790334775.129291717] [sage_target_localizer]: Person 3D | pixel=(710.5,633.1) | position=(-0.68,5.01,0.00) | range=4.94 m
[INFO] [1790334775.240815048] [sage_target_localizer]: Person 3D | pixel=(710.5,633.1) | position=(-0.68,5.01,0.00) | range=4.94 m
[INFO] [1790334775.331013617] [sage_target_localizer]: Person 3D | pixel=(710.5,633.1) | position=(-0.68,5.01,0.00) | range=4.94 m
[INFO] [1790334775.435581257] [sage_target_localizer]: Person 3D | pixel=(710.5,633.1) | position=(-0.68,5.01,0.00) | range=4.94 m
[INFO] [1790334775.529451223] [sage_target_localizer]: Person 3D | pixel=(711.0,636.5) | position=(-0.79,5.85,0.00) | range=5.78 m
[INFO] [1790334775.628768498] [sage_target_localizer]: Person 3D | pixel=(711.0,636.5) | position=(-0.79,5.85,0.00) | range=5.78 m
[INFO] [1790334777.030334068] [sage_target_localizer]: Person 3D | pixel=(702.8,656.8) | position=(-0.65,5.48,0.00) | range=5.40 m
[INFO] [1790334777.137003942] [sage_target_localizer]: Person 3D | pixel=(702.8,656.8) | position=(-0.65,5.48,0.00) | range=5.40 m
[INFO] [1790334779.735387538] [sage_target_localizer]: Person 3D | pixel=(703.6,682.3) | position=(-0.61,5.12,0.00) | range=5.04 m
[INFO] [1790334779.828716358] [sage_target_localizer]: Person 3D | pixel=(703.6,682.3) | position=(-0.61,5.12,0.00) | range=5.04 m
[INFO] [1790334779.930780489] [sage_target_localizer]: Person 3D | pixel=(705.7,683.7) | position=(-0.62,5.12,0.00) | range=5.03 m
[INFO] [1790334780.030147148] [sage_target_localizer]: Person 3D | pixel=(705.7,683.7) | position=(-0.62,5.12,0.00) | range=5.03 m
[INFO] [1790334780.132353428] [sage_target_localizer]: Person 3D | pixel=(708.5,683.0) | position=(-0.65,5.15,0.00) | range=5.07 m
[INFO] [1790334780.229867726] [sage_target_localizer]: Person 3D | pixel=(708.5,683.0) | position=(-0.65,5.15,0.00) | range=5.07 m
[INFO] [1790334780.334707959] [sage_target_localizer]: Person 3D | pixel=(709.0,683.3) | position=(-0.66,5.14,0.00) | range=5.05 m
[INFO] [1790334780.431022573] [sage_target_localizer]: Person 3D | pixel=(709.0,683.3) | position=(-0.66,5.14,0.00) | range=5.05 m
[INFO] [1790334818.436882595] [sage_target_localizer]: Person 3D | pixel=(704.1,697.4) | position=(-0.60,4.75,0.00) | range=4.68 m
[INFO] [1790334818.533304542] [sage_target_localizer]: Person 3D | pixel=(704.1,697.4) | position=(-0.60,4.75,0.00) | range=4.68 m
[INFO] [1790334818.629221198] [sage_target_localizer]: Person 3D | pixel=(704.1,697.4) | position=(-0.60,4.75,0.00) | range=4.68 m
[INFO] [1790334818.737953287] [sage_target_localizer]: Person 3D | pixel=(704.1,697.4) | position=(-0.60,4.75,0.00) | range=4.68 m
[WARN] [1790334825.137699608] [sage_target_localizer]: 3D localization skipped: UAV tilt 10.3 deg > 8.0
[INFO] [1790334825.930654359] [sage_target_localizer]: Person 3D | pixel=(147.4,551.7) | position=(-8.00,8.55,0.00) | range=11.22 m
[INFO] [1790334826.034815404] [sage_target_localizer]: Person 3D | pixel=(147.4,551.7) | position=(-8.00,8.55,0.00) | range=11.22 m
[INFO] [1790334826.130571247] [sage_target_localizer]: Person 3D | pixel=(147.4,551.7) | position=(-8.00,8.55,0.00) | range=11.22 m
[INFO] [1790334826.230430657] [sage_target_localizer]: Person 3D | pixel=(208.6,562.3) | position=(-8.14,8.78,0.00) | range=11.43 m
[INFO] [1790334826.334580998] [sage_target_localizer]: Person 3D | pixel=(208.6,562.3) | position=(-8.14,8.78,0.00) | range=11.43 m
[INFO] [1790334826.433231172] [sage_target_localizer]: Person 3D | pixel=(208.6,562.3) | position=(-8.14,8.78,0.00) | range=11.43 m
[INFO] [1790334826.539788134] [sage_target_localizer]: Person 3D | pixel=(336.5,571.7) | position=(-7.84,8.28,0.00) | range=10.83 m
[INFO] [1790334826.631551508] [sage_target_localizer]: Person 3D | pixel=(336.5,571.7) | position=(-7.84,8.28,0.00) | range=10.83 m
