[INFO] [1790293892.938869243] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790293892.939756777] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790293892.940610297] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790293892.941425910] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790293892.942252269] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790293892.943116384] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790293892.943934650] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790293901.784187842] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-6.44, 11.04, 0.00) | state=STATIONARY
[INFO] [1790293901.883305798] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790293901.983613339] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790293902.086485426] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790293902.183129384] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790293902.294346995] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790293902.393955636] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790293902.495008183] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790293902.586968364] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790293902.683459429] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790293902.785466957] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790293902.885157795] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.44, 11.04, 0.00) | smoothed=(-6.44, 11.04, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790293902.989797525] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-0.20, 5.13, 0.00) | state=STATIONARY
[INFO] [1790293903.084403579] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.20, 5.13, 0.00) | smoothed=(-0.20, 5.13, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790293903.184436819] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(-0.19, 5.14, 0.00) | smoothed=(-0.20, 5.13, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790293903.284530372] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(-0.19, 5.14, 0.00) | smoothed=(-0.20, 5.14, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790293903.382897330] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-0.20, 5.21, 0.00) | smoothed=(-0.20, 5.15, 0.00) | velocity=(-0.00, 0.05, 0.00) m/s | speed=0.05 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790293903.488688734] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.20, 5.21, 0.00) | smoothed=(-0.20, 5.17, 0.00) | velocity=(-0.00, 0.09, 0.00) m/s | speed=0.09 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790293903.584068511] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.20, 5.11, 0.00) | smoothed=(-0.20, 5.15, 0.00) | velocity=(-0.00, 0.05, 0.00) m/s | speed=0.05 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790293903.684432251] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.20, 5.11, 0.00) | smoothed=(-0.20, 5.14, 0.00) | velocity=(-0.00, 0.02, 0.00) m/s | speed=0.02 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790293903.786457572] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-0.20, 5.08, 0.00) | smoothed=(-0.20, 5.13, 0.00) | velocity=(-0.00, -0.07, 0.00) m/s | speed=0.07 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790293903.891087393] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.20, 5.08, 0.00) | smoothed=(-0.20, 5.11, 0.00) | velocity=(-0.00, -0.13, 0.00) m/s | speed=0.13 m/s | net=0.02 m | straightness=0.21 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790293903.983886968] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(-0.21, 5.11, 0.00) | smoothed=(-0.20, 5.11, 0.00) | velocity=(-0.01, -0.10, 0.00) m/s | speed=0.10 m/s | net=0.02 m | straightness=0.22 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790293904.085002743] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(-0.21, 5.11, 0.00) | smoothed=(-0.20, 5.11, 0.00) | velocity=(-0.01, -0.08, 0.00) m/s | speed=0.08 m/s | net=0.02 m | straightness=0.25 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790293904.190572934] [sage_semantic_world_model]: Target 2 updated | association_distance=0.01 m | raw=(-0.21, 5.11, 0.00) | smoothed=(-0.20, 5.11, 0.00) | velocity=(-0.02, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.03 m | straightness=0.28 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790293904.295369404] [sage_semantic_world_model]: Target 2 updated | association_distance=0.08 m | raw=(-0.23, 5.18, 0.00) | smoothed=(-0.21, 5.13, 0.00) | velocity=(-0.03, 0.04, 0.00) m/s | speed=0.05 m/s | net=0.03 m | straightness=0.30 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790293904.386445151] [sage_semantic_world_model]: Target 2 updated | association_distance=0.13 m | raw=(-0.26, 5.25, 0.00) | smoothed=(-0.22, 5.16, 0.00) | velocity=(-0.05, 0.12, 0.00) m/s | speed=0.13 m/s | net=0.03 m | straightness=0.24 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790293904.483686942] [sage_semantic_world_model]: Target 2 updated | association_distance=0.10 m | raw=(-0.26, 5.25, 0.00) | smoothed=(-0.23, 5.18, 0.00) | velocity=(-0.07, 0.17, 0.00) m/s | speed=0.19 m/s | net=0.04 m | straightness=0.36 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790293904.586396364] [sage_semantic_world_model]: Target 2 updated | association_distance=0.07 m | raw=(-0.26, 5.25, 0.00) | smoothed=(-0.24, 5.20, 0.00) | velocity=(-0.08, 0.22, 0.00) m/s | speed=0.23 m/s | net=0.07 m | straightness=0.52 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790293904.688474734] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.28, 5.23, 0.00) | smoothed=(-0.25, 5.20, 0.00) | velocity=(-0.09, 0.19, 0.00) m/s | speed=0.21 m/s | net=0.09 m | straightness=0.75 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790293904.791618422] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.28, 5.23, 0.00) | smoothed=(-0.25, 5.21, 0.00) | velocity=(-0.08, 0.13, 0.00) m/s | speed=0.15 m/s | net=0.11 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790293904.886360399] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.30, 5.21, 0.00) | smoothed=(-0.26, 5.21, 0.00) | velocity=(-0.09, 0.07, 0.00) m/s | speed=0.11 m/s | net=0.12 m | straightness=0.91 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790293904.986276338] [sage_semantic_world_model]: Target 2 updated | association_distance=0.03 m | raw=(-0.30, 5.21, 0.00) | smoothed=(-0.27, 5.21, 0.00) | velocity=(-0.09, 0.03, 0.00) m/s | speed=0.09 m/s | net=0.12 m | straightness=0.90 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790293905.084096112] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-0.32, 5.18, 0.00) | smoothed=(-0.28, 5.20, 0.00) | velocity=(-0.10, -0.01, 0.00) m/s | speed=0.10 m/s | net=0.12 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=22
[INFO] [1790293905.187792882] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.32, 5.18, 0.00) | smoothed=(-0.29, 5.20, 0.00) | velocity=(-0.10, -0.04, 0.00) m/s | speed=0.10 m/s | net=0.11 m | straightness=0.77 | direction=0.00 | state=STATIONARY | detections=23
