[INFO] [1790212874.515281640] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790212874.516210382] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790212874.516837846] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790212874.517441847] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790212874.518023596] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790212874.518655510] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790212874.519276605] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790212881.653816026] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-6.80, 7.80, 0.00) | state=STATIONARY
[INFO] [1790212881.748005460] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790212881.856243751] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790212881.950725033] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790212882.056473058] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790212882.149129552] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790212882.258114686] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790212882.349978613] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790212882.448606155] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-6.80, 7.80, 0.00) | smoothed=(-6.80, 7.80, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790212882.550565506] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-0.23, 4.55, 0.00) | state=STATIONARY
[INFO] [1790212882.655208830] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.23, 4.55, 0.00) | smoothed=(-0.23, 4.55, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790212882.751861020] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.23, 4.55, 0.00) | smoothed=(-0.23, 4.55, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
