[WARN] [1790212875.244296832] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790212875.246670937] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790212875.247456309] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790212875.248108455] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790212875.248777405] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790212875.249651606] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790212881.650088422] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212881.748559381] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212881.851185509] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212881.947350654] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.054735194] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.147878829] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.249889436] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.346816556] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.448341049] [sage_target_localizer]: Person 3D | pixel=(1105.6,623.3) | position=(-6.80,7.80,0.00) | range=10.58 m
[INFO] [1790212882.547993103] [sage_target_localizer]: Person 3D | pixel=(681.4,635.1) | position=(-0.23,4.55,0.00) | range=4.54 m
[INFO] [1790212882.653504823] [sage_target_localizer]: Person 3D | pixel=(681.4,635.1) | position=(-0.23,4.55,0.00) | range=4.54 m
[INFO] [1790212882.748624122] [sage_target_localizer]: Person 3D | pixel=(681.4,635.1) | position=(-0.23,4.55,0.00) | range=4.54 m
[INFO] [1790212882.847811823] [sage_target_localizer]: Person 3D | pixel=(682.3,627.9) | position=(-0.24,4.54,0.00) | range=4.55 m
[INFO] [1790212882.947985745] [sage_target_localizer]: Person 3D | pixel=(682.3,627.9) | position=(-0.24,4.54,0.00) | range=4.55 m
[INFO] [1790212883.052743378] [sage_target_localizer]: Person 3D | pixel=(682.8,621.7) | position=(-0.25,4.58,0.00) | range=4.60 m
[INFO] [1790212883.151398758] [sage_target_localizer]: Person 3D | pixel=(682.8,621.7) | position=(-0.25,4.58,0.00) | range=4.60 m
[INFO] [1790212883.248487366] [sage_target_localizer]: Person 3D | pixel=(682.8,621.7) | position=(-0.25,4.58,0.00) | range=4.60 m
[INFO] [1790212883.349664996] [sage_target_localizer]: Person 3D | pixel=(681.9,615.2) | position=(-0.25,4.68,0.00) | range=4.70 m
[INFO] [1790212883.447018395] [sage_target_localizer]: Person 3D | pixel=(681.9,615.2) | position=(-0.25,4.68,0.00) | range=4.70 m
[INFO] [1790212883.550995923] [sage_target_localizer]: Person 3D | pixel=(1090.0,550.3) | position=(-7.14,8.39,0.00) | range=11.18 m
