[INFO] [1790220283.593585211] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790220283.594828016] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790220286.483824776] [sage_energy_monitor]: ENERGY | remaining=99.1 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790220287.485442665] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790220288.489699297] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790220289.489429278] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790220290.487746207] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790220291.494316592] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=0.045 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790220292.491064023] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.044 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790220293.485201791] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.7 %
[INFO] [1790220294.485234168] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.6 %
[INFO] [1790220295.485088116] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.6 %
[INFO] [1790220296.484539324] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=0.043 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.5 %
[INFO] [1790220297.490102148] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.5 %
[INFO] [1790220298.488779724] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.5 %
[INFO] [1790220299.485203345] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.4 %
[INFO] [1790220300.484568659] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.4 %
[INFO] [1790220301.484231860] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.042 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.3 %
[INFO] [1790220302.483961090] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.041 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.1 % | margin_after_return=78.3 %
[INFO] [1790220303.496252911] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.041 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.3 %
[INFO] [1790220304.483497849] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.041 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.1 % | margin_after_return=78.2 %
[INFO] [1790220305.484206626] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.040 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.2 %
[INFO] [1790220306.486748491] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.040 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790220307.485503053] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.040 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790220308.483806302] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.039 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790220309.487263423] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.039 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790220310.487297027] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.038 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790220311.486454787] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.17 V | drain_rate=0.038 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790220312.486539284] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.038 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790220313.483786446] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.038 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.1 % | margin_after_return=77.9 %
[INFO] [1790220314.486611741] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.038 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.1 % | margin_after_return=77.9 %
