[INFO] [1790222339.323719998] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790222339.324871995] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790222339.325878150] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790222339.327193577] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790222339.327934240] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790222339.329897954] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790222339.331262372] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790222349.212054085] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.85, 4.56, 0.00) | state=STATIONARY
[INFO] [1790222349.307235324] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.85, 4.56, 0.00) | smoothed=(-0.85, 4.56, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790222349.418154285] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.85, 4.56, 0.00) | smoothed=(-0.85, 4.56, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790222349.505699751] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.86, 4.61, 0.00) | smoothed=(-0.86, 4.57, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790222349.606116640] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.86, 4.61, 0.00) | smoothed=(-0.86, 4.58, 0.00) | velocity=(-0.01, 0.05, 0.00) m/s | speed=0.05 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790222349.708088552] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.87, 4.59, 0.00) | smoothed=(-0.86, 4.58, 0.00) | velocity=(-0.02, 0.05, 0.00) m/s | speed=0.06 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790222349.809404425] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.87, 4.59, 0.00) | smoothed=(-0.86, 4.59, 0.00) | velocity=(-0.02, 0.06, 0.00) m/s | speed=0.06 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790222349.904453008] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.87, 4.59, 0.00) | smoothed=(-0.87, 4.59, 0.00) | velocity=(-0.02, 0.04, 0.00) m/s | speed=0.04 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790222350.008088843] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.87, 4.59, 0.00) | smoothed=(-0.87, 4.59, 0.00) | velocity=(-0.02, 0.02, 0.00) m/s | speed=0.03 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790222350.108828512] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.87, 4.59, 0.00) | smoothed=(-0.87, 4.59, 0.00) | velocity=(-0.02, 0.01, 0.00) m/s | speed=0.03 m/s | net=0.03 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790222350.206806149] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.88, 4.60, 0.00) | smoothed=(-0.87, 4.59, 0.00) | velocity=(-0.02, 0.02, 0.00) m/s | speed=0.03 m/s | net=0.04 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790222350.314752898] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.88, 4.60, 0.00) | smoothed=(-0.87, 4.59, 0.00) | velocity=(-0.02, 0.02, 0.00) m/s | speed=0.03 m/s | net=0.04 m | straightness=0.93 | direction=0.00 | state=STATIONARY | detections=12
