[INFO] [1790307565.158539958] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790307565.159325512] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790307565.160169666] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790307565.161040511] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790307565.162507650] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790307565.164636166] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790307565.165412544] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790307577.930747201] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.55, 4.65, 0.00) | state=STATIONARY
[INFO] [1790307578.027271031] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.56, 4.65, 0.00) | smoothed=(-0.55, 4.65, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790307578.124311443] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.56, 4.65, 0.00) | smoothed=(-0.55, 4.65, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790307578.235556878] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.56, 4.65, 0.00) | smoothed=(-0.55, 4.65, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790307578.329328795] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.57, 4.62, 0.00) | smoothed=(-0.56, 4.64, 0.00) | velocity=(-0.03, -0.02, 0.00) m/s | speed=0.03 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790307578.431401543] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.57, 4.62, 0.00) | smoothed=(-0.56, 4.63, 0.00) | velocity=(-0.03, -0.03, 0.00) m/s | speed=0.05 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790307595.128728704] [sage_semantic_world_model]: Target 1 updated | association_distance=0.47 m | raw=(-0.47, 4.18, 0.00) | smoothed=(-0.54, 4.52, 0.00) | velocity=(0.00, -0.01, 0.00) m/s | speed=0.01 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790307595.226991129] [sage_semantic_world_model]: Target 1 updated | association_distance=0.35 m | raw=(-0.47, 4.18, 0.00) | smoothed=(-0.52, 4.43, 0.00) | velocity=(0.00, -0.01, 0.00) m/s | speed=0.01 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790307595.330383676] [sage_semantic_world_model]: Target 1 updated | association_distance=0.27 m | raw=(-0.48, 4.17, 0.00) | smoothed=(-0.51, 4.37, 0.00) | velocity=(0.00, -0.02, 0.00) m/s | speed=0.02 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790307595.429813412] [sage_semantic_world_model]: Target 1 updated | association_distance=0.20 m | raw=(-0.48, 4.17, 0.00) | smoothed=(-0.50, 4.32, 0.00) | velocity=(0.00, -0.02, 0.00) m/s | speed=0.02 m/s | net=0.33 m | straightness=0.97 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790307595.524055122] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(-0.48, 4.17, 0.00) | smoothed=(-0.50, 4.28, 0.00) | velocity=(0.10, -0.60, 0.00) m/s | speed=0.61 m/s | net=0.37 m | straightness=0.98 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790307595.624105490] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.48, 4.17, 0.00) | smoothed=(-0.49, 4.25, 0.00) | velocity=(0.07, -0.45, 0.00) m/s | speed=0.46 m/s | net=0.40 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790307595.729839837] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.48, 4.17, 0.00) | smoothed=(-0.49, 4.23, 0.00) | velocity=(0.05, -0.34, 0.00) m/s | speed=0.35 m/s | net=0.42 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790307597.524209186] [sage_semantic_world_model]: Target 1 updated | association_distance=0.09 m | raw=(-0.47, 4.14, 0.00) | smoothed=(-0.48, 4.21, 0.00) | velocity=(0.01, -0.05, 0.00) m/s | speed=0.05 m/s | net=0.44 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790307597.634992413] [sage_semantic_world_model]: Target 1 updated | association_distance=0.07 m | raw=(-0.47, 4.14, 0.00) | smoothed=(-0.48, 4.19, 0.00) | velocity=(0.01, -0.04, 0.00) m/s | speed=0.04 m/s | net=0.45 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790307597.925780782] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.47, 4.16, 0.00) | smoothed=(-0.48, 4.18, 0.00) | velocity=(0.01, -0.03, 0.00) m/s | speed=0.03 m/s | net=0.34 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790307598.031397520] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.47, 4.16, 0.00) | smoothed=(-0.47, 4.18, 0.00) | velocity=(0.01, -0.02, 0.00) m/s | speed=0.02 m/s | net=0.26 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790307607.124644919] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.48, 4.20, 0.00) | velocity=(0.00, -0.00, 0.00) m/s | speed=0.00 m/s | net=0.17 m | straightness=0.81 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790307607.227559485] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.49, 4.21, 0.00) | velocity=(-0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.11 m | straightness=0.60 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790307607.325457721] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.49, 4.22, 0.00) | velocity=(-0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.06 m | straightness=0.38 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790307607.425576188] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.49, 4.23, 0.00) | velocity=(-0.00, 0.01, 0.00) m/s | speed=0.01 m/s | net=0.02 m | straightness=0.16 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790307607.527153340] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.49, 4.24, 0.00) | velocity=(-0.03, 0.10, 0.00) m/s | speed=0.10 m/s | net=0.01 m | straightness=0.06 | direction=0.00 | state=STATIONARY | detections=22
[INFO] [1790307607.627845040] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.50, 4.24, 0.00) | velocity=(-0.02, 0.07, 0.00) m/s | speed=0.08 m/s | net=0.03 m | straightness=0.34 | direction=0.00 | state=STATIONARY | detections=23
[INFO] [1790307607.726930445] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.50, 4.26, 0.00) | smoothed=(-0.50, 4.24, 0.00) | velocity=(-0.02, 0.06, 0.00) m/s | speed=0.06 m/s | net=0.05 m | straightness=0.63 | direction=0.00 | state=STATIONARY | detections=24
