[INFO] [1790311266.595251470] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790311266.596233944] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790311267.449582401] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=50.7 m | return_time=54 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790311268.448723379] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=47.5 m | return_time=51 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790311269.451489878] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=44.5 m | return_time=47 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790311270.453341446] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=41.3 m | return_time=44 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790311271.449711447] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=n/a | home_distance=38.0 m | return_time=41 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790311272.449739457] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.055 %/s | home_distance=34.6 m | return_time=38 s | return_cost=2.1 % | margin_after_return=76.7 %
[INFO] [1790311273.448733776] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.055 %/s | home_distance=31.1 m | return_time=35 s | return_cost=1.9 % | margin_after_return=76.8 %
[INFO] [1790311274.451980282] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=27.7 m | return_time=31 s | return_cost=1.7 % | margin_after_return=76.9 %
[INFO] [1790311275.449460096] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=24.2 m | return_time=28 s | return_cost=1.5 % | margin_after_return=77.1 %
[INFO] [1790311276.449015326] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=20.8 m | return_time=24 s | return_cost=1.3 % | margin_after_return=77.2 %
[INFO] [1790311277.448693300] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=17.4 m | return_time=21 s | return_cost=1.2 % | margin_after_return=77.3 %
[INFO] [1790311278.448282542] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=13.8 m | return_time=18 s | return_cost=1.0 % | margin_after_return=77.5 %
[INFO] [1790311279.449062063] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=10.6 m | return_time=14 s | return_cost=0.8 % | margin_after_return=77.6 %
[INFO] [1790311280.452674067] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=7.1 m | return_time=11 s | return_cost=0.6 % | margin_after_return=77.7 %
[INFO] [1790311281.449151521] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=3.7 m | return_time=7 s | return_cost=0.4 % | margin_after_return=77.9 %
[INFO] [1790311282.449279323] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=0.7 m | return_time=5 s | return_cost=0.3 % | margin_after_return=78.0 %
[INFO] [1790311283.450183309] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.055 %/s | home_distance=1.6 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.9 %
[INFO] [1790311284.448550256] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=2.8 m | return_time=6 s | return_cost=0.4 % | margin_after_return=77.8 %
[INFO] [1790311285.448904741] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=3.0 m | return_time=6 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790311286.453620359] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=3.9 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790311287.451120961] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=4.6 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790311288.448458237] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=2.7 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.6 %
[INFO] [1790311289.452388588] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=2.6 m | return_time=6 s | return_cost=0.3 % | margin_after_return=77.5 %
[INFO] [1790311290.449388511] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=2.2 m | return_time=6 s | return_cost=0.3 % | margin_after_return=77.4 %
[INFO] [1790311291.448909127] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=1.5 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.4 %
[INFO] [1790311292.449051724] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=0.8 m | return_time=5 s | return_cost=0.3 % | margin_after_return=77.4 %
[INFO] [1790311293.452001714] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.055 %/s | home_distance=0.2 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.4 %
[INFO] [1790311294.449347950] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790311295.448746131] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.2 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.3 %
[INFO] [1790311296.450391193] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.2 %
[INFO] [1790311297.448881857] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790311298.449122104] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.1 %
[INFO] [1790311299.448532909] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.4 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790311300.451123675] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790311301.448864149] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790311302.452563857] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.9 %
[INFO] [1790311303.449286237] [sage_energy_monitor]: ENERGY | remaining=97.1 % | voltage=16.15 V | drain_rate=0.055 %/s | home_distance=0.3 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790311304.449182386] [sage_energy_monitor]: ENERGY | remaining=97.0 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.2 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.8 %
[INFO] [1790311305.448968126] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.2 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.7 %
[INFO] [1790311306.449172586] [sage_energy_monitor]: ENERGY | remaining=96.9 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.7 %
[INFO] [1790311307.448883227] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.6 %
[INFO] [1790311308.448507544] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.055 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.6 %
[INFO] [1790311309.449542443] [sage_energy_monitor]: ENERGY | remaining=96.8 % | voltage=16.14 V | drain_rate=0.054 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.5 %
[INFO] [1790311310.451431547] [sage_energy_monitor]: ENERGY | remaining=96.7 % | voltage=16.14 V | drain_rate=0.054 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.5 %
[INFO] [1790311311.457513959] [sage_energy_monitor]: ENERGY | remaining=96.7 % | voltage=16.14 V | drain_rate=0.053 %/s | home_distance=0.1 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.5 %
