trial,date,world,status,found,tp,fp,fn,mean_err_m,max_err_m,duration_s,rejected_candidates
0924_045723,2026-09-24,sage_sar,area_covered,3,3,0,0,0.24,0.36,307,1
0924_050428,2026-09-24,sage_sar,no_report,0,0,0,3,,,,1
