[INFO] [1790332641.787414612] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790332641.788825122] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790332641.789555030] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790332641.790310724] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790332641.791211414] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790332648.259596058] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.361918601] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.463803637] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.559760530] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.660806031] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.758257267] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.864934875] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332648.958777080] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.059106132] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.159013696] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.257838958] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.361230717] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.459786827] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.560376560] [sage_target_localizer]: Person 3D | pixel=(705.8,615.4) | position=(-0.84,6.69,0.00) | range=6.62 m
[INFO] [1790332649.659382577] [sage_target_localizer]: Person 3D | pixel=(705.3,558.4) | position=(-1.24,10.09,0.00) | range=10.04 m
[INFO] [1790332649.762267978] [sage_target_localizer]: Person 3D | pixel=(705.3,558.4) | position=(-1.24,10.09,0.00) | range=10.04 m
[INFO] [1790332649.863685546] [sage_target_localizer]: Person 3D | pixel=(704.1,555.4) | position=(-1.26,10.45,0.00) | range=10.40 m
[INFO] [1790332649.958491424] [sage_target_localizer]: Person 3D | pixel=(704.1,555.4) | position=(-1.26,10.45,0.00) | range=10.40 m
[INFO] [1790332650.058638769] [sage_target_localizer]: Person 3D | pixel=(704.1,555.4) | position=(-1.26,10.45,0.00) | range=10.40 m
[INFO] [1790332650.462162728] [sage_target_localizer]: Person 3D | pixel=(704.5,550.4) | position=(-1.33,10.97,0.00) | range=10.93 m
[INFO] [1790332650.558224751] [sage_target_localizer]: Person 3D | pixel=(704.5,550.4) | position=(-1.33,10.97,0.00) | range=10.93 m
[INFO] [1790332650.659867958] [sage_target_localizer]: Person 3D | pixel=(704.5,550.4) | position=(-1.33,10.97,0.00) | range=10.93 m
[INFO] [1790332650.759749341] [sage_target_localizer]: Person 3D | pixel=(704.5,550.4) | position=(-1.33,10.97,0.00) | range=10.93 m
[INFO] [1790332650.860631888] [sage_target_localizer]: Person 3D | pixel=(702.9,550.2) | position=(-1.29,10.97,0.00) | range=10.92 m
