[INFO] [1790223322.749116646] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790223322.749982735] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790223323.617702056] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790223324.616530317] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790223325.617588428] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790223326.615487641] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790223327.615378850] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790223328.618267914] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.070 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.1 %
[INFO] [1790223329.618138658] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.070 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790223330.617559412] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.0 %
[INFO] [1790223331.617155526] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.9 %
[INFO] [1790223332.619265352] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790223333.616951677] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.068 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.8 %
[INFO] [1790223334.616593403] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.7 %
[INFO] [1790223335.618317395] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=77.7 %
