[INFO] [1790221260.927552300] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790221260.930771591] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790221261.826365201] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790221262.822698956] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790221263.822026223] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790221264.822305629] [sage_energy_monitor]: ENERGY | remaining=98.4 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790221265.823160497] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790221266.822507440] [sage_energy_monitor]: ENERGY | remaining=98.3 % | voltage=16.17 V | drain_rate=0.078 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=78.0 %
[INFO] [1790221267.823589990] [sage_energy_monitor]: ENERGY | remaining=98.2 % | voltage=16.17 V | drain_rate=0.077 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.9 %
[INFO] [1790221268.824035798] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.076 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.8 %
[INFO] [1790221269.822213565] [sage_energy_monitor]: ENERGY | remaining=98.1 % | voltage=16.16 V | drain_rate=0.075 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.8 %
[INFO] [1790221270.823496291] [sage_energy_monitor]: ENERGY | remaining=98.0 % | voltage=16.16 V | drain_rate=0.074 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790221271.823499019] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.073 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.7 %
[INFO] [1790221272.828852175] [sage_energy_monitor]: ENERGY | remaining=97.9 % | voltage=16.16 V | drain_rate=0.072 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.6 %
[INFO] [1790221273.822980149] [sage_energy_monitor]: ENERGY | remaining=97.8 % | voltage=16.16 V | drain_rate=0.071 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.5 %
[INFO] [1790221274.822166474] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.071 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.5 %
[INFO] [1790221275.824413374] [sage_energy_monitor]: ENERGY | remaining=97.7 % | voltage=16.16 V | drain_rate=0.070 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.4 %
[INFO] [1790221276.824730414] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.16 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.4 %
[INFO] [1790221277.825269256] [sage_energy_monitor]: ENERGY | remaining=97.6 % | voltage=16.15 V | drain_rate=0.069 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.3 %
[INFO] [1790221278.826034364] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.068 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.2 %
[INFO] [1790221279.823878215] [sage_energy_monitor]: ENERGY | remaining=97.5 % | voltage=16.15 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.2 %
[INFO] [1790221280.827381380] [sage_energy_monitor]: ENERGY | remaining=97.4 % | voltage=16.15 V | drain_rate=0.067 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.1 %
[INFO] [1790221281.822284202] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.066 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.1 %
[INFO] [1790221282.823151791] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.065 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.0 %
[INFO] [1790221283.822187009] [sage_energy_monitor]: ENERGY | remaining=97.3 % | voltage=16.15 V | drain_rate=0.064 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.3 % | margin_after_return=77.0 %
[INFO] [1790221284.822417077] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.063 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=77.0 %
[INFO] [1790221285.829603927] [sage_energy_monitor]: ENERGY | remaining=97.2 % | voltage=16.15 V | drain_rate=0.062 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=76.9 %
