[INFO] [1790221260.800066024] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790221260.801162753] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790221260.801881292] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790221260.802668754] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790221260.803408204] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790221269.569760935] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221269.669873660] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221269.767724555] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221269.866836012] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221269.969043977] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221270.072507658] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221270.167401148] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221270.267060359] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221270.367479079] [sage_target_localizer]: Person 3D | pixel=(661.3,683.0) | position=(-0.28,5.07,0.00) | range=4.95 m
[INFO] [1790221270.469281539] [sage_target_localizer]: Person 3D | pixel=(1113.6,622.2) | position=(-8.30,9.56,0.00) | range=12.56 m
[INFO] [1790221270.567356576] [sage_target_localizer]: Person 3D | pixel=(1113.6,622.2) | position=(-8.30,9.56,0.00) | range=12.56 m
[INFO] [1790221270.670016665] [sage_target_localizer]: Person 3D | pixel=(1113.6,622.2) | position=(-8.30,9.56,0.00) | range=12.56 m
[INFO] [1790221270.772830216] [sage_target_localizer]: Person 3D | pixel=(1112.4,622.8) | position=(-8.35,9.62,0.00) | range=12.64 m
[INFO] [1790221270.866756177] [sage_target_localizer]: Person 3D | pixel=(1112.4,622.8) | position=(-8.35,9.62,0.00) | range=12.64 m
[INFO] [1790221270.967430453] [sage_target_localizer]: Person 3D | pixel=(1112.4,622.8) | position=(-8.35,9.62,0.00) | range=12.64 m
[INFO] [1790221271.069868549] [sage_target_localizer]: Person 3D | pixel=(1113.7,622.6) | position=(-8.43,9.67,0.00) | range=12.73 m
[INFO] [1790221271.167669687] [sage_target_localizer]: Person 3D | pixel=(1113.7,622.6) | position=(-8.43,9.67,0.00) | range=12.73 m
[INFO] [1790221271.266684465] [sage_target_localizer]: Person 3D | pixel=(1113.7,622.6) | position=(-8.43,9.67,0.00) | range=12.73 m
[INFO] [1790221271.367931963] [sage_target_localizer]: Person 3D | pixel=(1114.3,622.2) | position=(-8.46,9.68,0.00) | range=12.75 m
[INFO] [1790221271.469212828] [sage_target_localizer]: Person 3D | pixel=(1114.3,622.2) | position=(-8.46,9.68,0.00) | range=12.75 m
[INFO] [1790221271.566970258] [sage_target_localizer]: Person 3D | pixel=(1114.3,622.2) | position=(-8.46,9.68,0.00) | range=12.75 m
[INFO] [1790221271.670047642] [sage_target_localizer]: Person 3D | pixel=(1114.3,622.2) | position=(-8.46,9.68,0.00) | range=12.75 m
[INFO] [1790221271.766753407] [sage_target_localizer]: Person 3D | pixel=(663.3,730.7) | position=(-0.29,4.57,0.00) | range=4.47 m
[INFO] [1790221271.874285683] [sage_target_localizer]: Person 3D | pixel=(663.3,730.7) | position=(-0.29,4.57,0.00) | range=4.47 m
[INFO] [1790221271.967405471] [sage_target_localizer]: Person 3D | pixel=(663.3,730.7) | position=(-0.29,4.57,0.00) | range=4.47 m
[INFO] [1790221272.068914945] [sage_target_localizer]: Person 3D | pixel=(666.7,730.1) | position=(-0.27,3.86,0.00) | range=3.76 m
[INFO] [1790221272.166972808] [sage_target_localizer]: Person 3D | pixel=(666.7,730.1) | position=(-0.27,3.86,0.00) | range=3.76 m
[INFO] [1790221272.269761154] [sage_target_localizer]: Person 3D | pixel=(666.7,730.1) | position=(-0.27,3.86,0.00) | range=3.76 m
[INFO] [1790221272.368599396] [sage_target_localizer]: Person 3D | pixel=(1107.4,621.8) | position=(-8.27,9.60,0.00) | range=12.57 m
[INFO] [1790221272.467698190] [sage_target_localizer]: Person 3D | pixel=(1107.4,621.8) | position=(-8.27,9.60,0.00) | range=12.57 m
[INFO] [1790221272.569037480] [sage_target_localizer]: Person 3D | pixel=(1107.4,621.8) | position=(-8.27,9.60,0.00) | range=12.57 m
[INFO] [1790221272.671569833] [sage_target_localizer]: Person 3D | pixel=(1104.5,621.4) | position=(-8.19,9.58,0.00) | range=12.51 m
[INFO] [1790221272.767304428] [sage_target_localizer]: Person 3D | pixel=(1104.5,621.4) | position=(-8.19,9.58,0.00) | range=12.51 m
[INFO] [1790221272.870029000] [sage_target_localizer]: Person 3D | pixel=(1104.5,621.4) | position=(-8.19,9.58,0.00) | range=12.51 m
[INFO] [1790221272.968212728] [sage_target_localizer]: Person 3D | pixel=(670.0,731.0) | position=(-0.33,4.51,0.00) | range=4.42 m
[INFO] [1790221273.067222840] [sage_target_localizer]: Person 3D | pixel=(670.0,731.0) | position=(-0.33,4.51,0.00) | range=4.42 m
[INFO] [1790221273.166857919] [sage_target_localizer]: Person 3D | pixel=(1106.4,620.6) | position=(-8.17,9.53,0.00) | range=12.47 m
[INFO] [1790221273.267789494] [sage_target_localizer]: Person 3D | pixel=(1106.4,620.6) | position=(-8.17,9.53,0.00) | range=12.47 m
[INFO] [1790221273.368401673] [sage_target_localizer]: Person 3D | pixel=(1106.4,620.6) | position=(-8.17,9.53,0.00) | range=12.47 m
[INFO] [1790221273.467684827] [sage_target_localizer]: Person 3D | pixel=(1107.2,621.3) | position=(-8.01,9.32,0.00) | range=12.20 m
