[INFO] [1790221260.296674967] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221260.298289774] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221260.299742013] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221260.302700345] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221260.303528724] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221260.306724262] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221260.307811109] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221269.569042940] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.28, 5.07, 0.00) | state=STATIONARY
[INFO] [1790221271.370533512] [sage_semantic_world_model]: Target 2 updated | association_distance=0.08 m | raw=(-8.46, 9.68, 0.00) | smoothed=(-8.41, 9.65, 0.00) | velocity=(-0.19, 0.14, 0.00) m/s | speed=0.23 m/s | net=0.14 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790221271.470114275] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-8.46, 9.68, 0.00) | smoothed=(-8.42, 9.66, 0.00) | velocity=(-0.16, 0.11, 0.00) m/s | speed=0.19 m/s | net=0.15 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790221271.571609076] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-8.46, 9.68, 0.00) | smoothed=(-8.43, 9.67, 0.00) | velocity=(-0.13, 0.09, 0.00) m/s | speed=0.16 m/s | net=0.16 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790221271.674530646] [sage_semantic_world_model]: Target 2 updated | association_distance=0.03 m | raw=(-8.46, 9.68, 0.00) | smoothed=(-8.43, 9.67, 0.00) | velocity=(-0.12, 0.07, 0.00) m/s | speed=0.14 m/s | net=0.15 m | straightness=0.99 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790221271.767917575] [sage_semantic_world_model]: Target 1 updated | association_distance=0.50 m | raw=(-0.29, 4.57, 0.00) | smoothed=(-0.28, 4.95, 0.00) | velocity=(-0.00, -0.07, 0.00) m/s | speed=0.07 m/s | net=0.12 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790221271.872887308] [sage_semantic_world_model]: Target 1 updated | association_distance=0.37 m | raw=(-0.29, 4.57, 0.00) | smoothed=(-0.28, 4.85, 0.00) | velocity=(-0.00, -0.13, 0.00) m/s | speed=0.13 m/s | net=0.22 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790221271.967927013] [sage_semantic_world_model]: Target 1 updated | association_distance=0.28 m | raw=(-0.29, 4.57, 0.00) | smoothed=(-0.29, 4.78, 0.00) | velocity=(-0.01, -0.17, 0.00) m/s | speed=0.17 m/s | net=0.29 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790221272.072348068] [sage_semantic_world_model]: Target 1 updated | association_distance=0.92 m | raw=(-0.27, 3.86, 0.00) | smoothed=(-0.28, 4.55, 0.00) | velocity=(-0.00, -0.31, 0.00) m/s | speed=0.31 m/s | net=0.52 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=13
[INFO] [1790221272.167918312] [sage_semantic_world_model]: Target 1 updated | association_distance=0.69 m | raw=(-0.27, 3.86, 0.00) | smoothed=(-0.28, 4.38, 0.00) | velocity=(0.00, -1.42, 0.00) m/s | speed=1.42 m/s | net=0.69 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=14
[INFO] [1790221272.272752796] [sage_semantic_world_model]: Target 1 confirmed MOVING | net=0.82 m | avg_speed=0.37 m/s | straightness=1.00 | direction=1.00
