[INFO] [1790298300.611030694] [sage_energy_monitor]: SAGE energy monitor started.
[INFO] [1790298300.613026347] [sage_energy_monitor]: Cruise speed 1.0 m/s | reserve 0.20
[INFO] [1790298303.506650876] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790298304.510357202] [sage_energy_monitor]: ENERGY | remaining=99.0 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790298305.507777946] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790298306.507186320] [sage_energy_monitor]: ENERGY | remaining=98.9 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.1 m | return_time=4 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790298307.506655194] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=n/a | home_distance=0.0 m | return_time=3 s | return_cost=n/a | margin_after_return=n/a
[INFO] [1790298308.508689652] [sage_energy_monitor]: ENERGY | remaining=98.8 % | voltage=16.18 V | drain_rate=0.051 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790298309.507275641] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.050 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.6 %
[INFO] [1790298310.507054621] [sage_energy_monitor]: ENERGY | remaining=98.7 % | voltage=16.18 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=3 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790298311.508005909] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.049 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.5 %
[INFO] [1790298312.508458429] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790298313.506639531] [sage_energy_monitor]: ENERGY | remaining=98.6 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.4 %
[INFO] [1790298314.507755763] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.3 %
[INFO] [1790298315.506550816] [sage_energy_monitor]: ENERGY | remaining=98.5 % | voltage=16.17 V | drain_rate=0.048 %/s | home_distance=0.0 m | return_time=4 s | return_cost=0.2 % | margin_after_return=78.3 %
