[INFO] [1790298301.003920883] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790298301.005881529] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790298301.008820753] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790298301.011671038] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790298301.015251374] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790298307.582097597] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298307.680563988] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298307.779264794] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298307.885515278] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298307.985315603] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.081288041] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.180161031] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.279427486] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.382718175] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.480731540] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.583683582] [sage_target_localizer]: Person 3D | pixel=(1097.9,595.5) | position=(-5.47,6.52,0.00) | range=8.40 m
[INFO] [1790298308.680066149] [sage_target_localizer]: Person 3D | pixel=(710.9,614.7) | position=(-0.75,5.81,0.00) | range=5.76 m
[INFO] [1790298308.787259956] [sage_target_localizer]: Person 3D | pixel=(710.9,614.7) | position=(-0.75,5.81,0.00) | range=5.76 m
[INFO] [1790298308.884898913] [sage_target_localizer]: Person 3D | pixel=(710.9,614.7) | position=(-0.75,5.81,0.00) | range=5.76 m
[INFO] [1790298308.981689066] [sage_target_localizer]: Person 3D | pixel=(987.4,546.2) | position=(-6.05,9.47,0.00) | range=11.13 m
[INFO] [1790298309.079772929] [sage_target_localizer]: Person 3D | pixel=(987.4,546.2) | position=(-6.05,9.47,0.00) | range=11.13 m
[INFO] [1790298309.183610580] [sage_target_localizer]: Person 3D | pixel=(983.0,543.8) | position=(-6.10,9.66,0.00) | range=11.32 m
[INFO] [1790298309.280499815] [sage_target_localizer]: Person 3D | pixel=(983.0,543.8) | position=(-6.10,9.66,0.00) | range=11.32 m
[INFO] [1790298309.386165339] [sage_target_localizer]: Person 3D | pixel=(709.5,611.0) | position=(-0.74,5.82,0.00) | range=5.76 m
[INFO] [1790298309.479889127] [sage_target_localizer]: Person 3D | pixel=(709.5,611.0) | position=(-0.74,5.82,0.00) | range=5.76 m
[INFO] [1790298309.585161588] [sage_target_localizer]: Person 3D | pixel=(977.7,542.7) | position=(-5.98,9.61,0.00) | range=11.22 m
[INFO] [1790298309.681880570] [sage_target_localizer]: Person 3D | pixel=(977.7,542.7) | position=(-5.98,9.61,0.00) | range=11.22 m
[INFO] [1790298309.779607580] [sage_target_localizer]: Person 3D | pixel=(975.7,542.2) | position=(-5.97,9.65,0.00) | range=11.24 m
[INFO] [1790298309.882505933] [sage_target_localizer]: Person 3D | pixel=(975.7,542.2) | position=(-5.97,9.65,0.00) | range=11.24 m
[INFO] [1790298309.983248918] [sage_target_localizer]: Person 3D | pixel=(975.2,540.3) | position=(-6.11,9.88,0.00) | range=11.51 m
[INFO] [1790298310.084797582] [sage_target_localizer]: Person 3D | pixel=(975.2,540.3) | position=(-6.11,9.88,0.00) | range=11.51 m
[INFO] [1790298310.180167822] [sage_target_localizer]: Person 3D | pixel=(709.9,608.1) | position=(-0.75,5.86,0.00) | range=5.81 m
[INFO] [1790298310.283876231] [sage_target_localizer]: Person 3D | pixel=(709.9,608.1) | position=(-0.75,5.86,0.00) | range=5.81 m
[INFO] [1790298310.380255306] [sage_target_localizer]: Person 3D | pixel=(971.8,538.7) | position=(-6.10,9.96,0.00) | range=11.58 m
[INFO] [1790298310.486210722] [sage_target_localizer]: Person 3D | pixel=(971.8,538.7) | position=(-6.10,9.96,0.00) | range=11.58 m
[INFO] [1790298310.582711179] [sage_target_localizer]: Person 3D | pixel=(709.8,608.6) | position=(-0.75,5.82,0.00) | range=5.78 m
[INFO] [1790298310.686704567] [sage_target_localizer]: Person 3D | pixel=(709.8,608.6) | position=(-0.75,5.82,0.00) | range=5.78 m
[INFO] [1790298310.785355838] [sage_target_localizer]: Person 3D | pixel=(970.2,541.3) | position=(-5.87,9.63,0.00) | range=11.18 m
[INFO] [1790298310.882672194] [sage_target_localizer]: Person 3D | pixel=(970.2,541.3) | position=(-5.87,9.63,0.00) | range=11.18 m
[INFO] [1790298310.980713023] [sage_target_localizer]: Person 3D | pixel=(709.6,613.8) | position=(-0.72,5.66,0.00) | range=5.61 m
[INFO] [1790298311.088037696] [sage_target_localizer]: Person 3D | pixel=(709.6,613.8) | position=(-0.72,5.66,0.00) | range=5.61 m
[INFO] [1790298311.192154864] [sage_target_localizer]: Person 3D | pixel=(709.7,613.6) | position=(-0.73,5.65,0.00) | range=5.61 m
[INFO] [1790298311.280387143] [sage_target_localizer]: Person 3D | pixel=(709.7,613.6) | position=(-0.73,5.65,0.00) | range=5.61 m
