t,viewpoint,conf,bbox_frac,px,py,img_x,img_y
1790177713.2407491,4,0.84,0.0386,546.3,708.5,0.427,0.738
1790177714.3648436,4,0.727,0.013,690.5,578.6,0.539,0.603
1790177715.4952385,4,0.781,0.0114,867.3,553.8,0.678,0.577
1790177716.5487607,4,0.682,0.0101,791.9,562.3,0.619,0.586
1790177717.6612542,4,0.733,0.0097,802.0,585.7,0.627,0.61
1790177718.862408,1,0.69,0.0107,791.4,585.4,0.618,0.61
1790177720.7202187,2,0.637,0.0318,68.7,679.6,0.054,0.708
1790177721.79574,2,0.666,0.0195,498.8,536.6,0.39,0.559
1790177729.162776,4,0.833,0.0409,739.4,802.6,0.578,0.836
1790177730.2553859,4,0.764,0.0127,621.7,654.5,0.486,0.682
1790177731.318795,4,0.804,0.0203,983.7,590.2,0.769,0.615
1790177732.3546193,4,0.759,0.0159,908.0,600.7,0.709,0.626
1790177733.3847537,1,0.714,0.0128,876.8,619.5,0.685,0.645
1790177734.942688,1,0.524,0.0172,433.0,535.5,0.338,0.558
1790177736.0798032,1,0.735,0.0266,60.2,721.5,0.047,0.752
1790177737.1814542,1,0.728,0.0133,533.9,610.2,0.417,0.636
1790177738.4604094,1,0.332,0.0105,498.6,601.2,0.389,0.626
1790177739.8534608,2,0.76,0.0096,450.7,493.2,0.352,0.514
1790177745.3474395,4,0.518,0.0167,1209.4,780.7,0.945,0.813
1790177746.3676085,4,0.718,0.0707,839.9,704.8,0.656,0.734
1790177747.395074,4,0.779,0.0194,527.1,696.8,0.412,0.726
1790177748.4648232,4,0.668,0.0107,757.1,581.0,0.591,0.605
1790177749.497827,4,0.647,0.0082,799.2,565.0,0.624,0.589
1790177750.769627,4,0.562,0.007,749.9,566.6,0.586,0.59
1790177752.7607605,4,0.63,0.0101,752.4,636.0,0.588,0.663
1790177753.798982,1,0.513,0.011,778.0,647.9,0.608,0.675
1790177755.2493184,1,0.795,0.0409,83.2,681.6,0.065,0.71
1790177756.3069577,1,0.819,0.0409,168.1,722.5,0.131,0.753
1790177757.4590092,1,0.724,0.0141,535.1,603.9,0.418,0.629
1790177758.5286474,1,0.658,0.0111,450.8,581.4,0.352,0.606
1790177759.759843,1,0.632,0.012,440.9,591.6,0.344,0.616
1790177760.9534914,2,0.612,0.0116,420.3,623.0,0.328,0.649
1790177768.015419,4,0.82,0.0736,824.5,792.1,0.644,0.825
1790177769.1819012,4,0.773,0.0155,558.5,713.0,0.436,0.743
1790177770.3083415,1,0.676,0.011,872.6,604.6,0.682,0.63
1790177771.7442555,1,0.817,0.0279,229.8,521.5,0.18,0.543
1790177773.2901614,2,0.809,0.0265,312.4,708.4,0.244,0.738
1790177774.3789594,2,0.741,0.0096,468.9,484.6,0.366,0.505
1790177781.4151502,4,0.466,0.0682,1055.3,760.8,0.824,0.792
1790177782.6621637,4,0.814,0.0253,401.2,751.4,0.313,0.783
1790177783.9964979,4,0.722,0.0114,792.6,624.8,0.619,0.651
1790177788.1695166,2,0.808,0.0269,56.3,805.7,0.044,0.839
1790177789.301779,2,0.71,0.0142,392.8,566.4,0.307,0.59
1790177796.0967467,4,0.824,0.0478,923.4,728.0,0.721,0.758
1790177797.32031,4,0.678,0.0113,556.7,618.2,0.435,0.644
1790177798.5479722,1,0.75,0.0088,913.4,546.7,0.714,0.57
1790177799.6500416,1,0.794,0.0176,242.6,529.9,0.19,0.552
