trial,date,world,status,found,tp,fp,fn,mean_err_m,max_err_m,duration_s,rejected_candidates
0924_063733,2026-09-24,sage_sar,area_covered,3,3,0,0,0.19,0.28,249,1
0924_064609,2026-09-24,sage_sar,area_covered,3,3,0,0,0.22,0.28,311,3
0924_065643,2026-09-24,sage_sar,area_covered,3,3,0,0,0.35,0.64,199,1
0924_070321,2026-09-24,sage_sar,area_covered,3,3,0,0,0.29,0.45,242,1
0924_071044,2026-09-24,sage_sar,area_covered,3,3,0,0,0.43,0.61,241,0
