[WARN] [1790213547.263788834] [sage_target_localizer]: attitude_source=gz_truth (SITL ground truth, not the PX4 estimate).
[INFO] [1790213547.267734063] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790213547.268501874] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790213547.269309454] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790213547.270141883] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790213547.271058436] [sage_target_localizer]: Waiting for camera/PX4 data...
[WARN] [1790213556.073875488] [sage_target_localizer]: 3D localization skipped: UAV tilt 8.3 deg > 8.0
[INFO] [1790213560.969149380] [sage_target_localizer]: Person 3D | pixel=(263.3,530.0) | position=(-0.06,4.81,0.00) | range=5.41 m
[INFO] [1790213561.068628439] [sage_target_localizer]: Person 3D | pixel=(244.5,540.6) | position=(-0.08,4.64,0.00) | range=5.12 m
[INFO] [1790213561.169792772] [sage_target_localizer]: Person 3D | pixel=(244.5,540.6) | position=(-0.08,4.64,0.00) | range=5.12 m
[INFO] [1790213561.269693843] [sage_target_localizer]: Person 3D | pixel=(233.1,548.9) | position=(-0.09,4.52,0.00) | range=4.92 m
[INFO] [1790213561.368588766] [sage_target_localizer]: Person 3D | pixel=(233.1,548.9) | position=(-0.09,4.52,0.00) | range=4.92 m
[INFO] [1790213561.472940239] [sage_target_localizer]: Person 3D | pixel=(233.1,548.9) | position=(-0.09,4.52,0.00) | range=4.92 m
[INFO] [1790213561.569361874] [sage_target_localizer]: Person 3D | pixel=(704.1,537.3) | position=(-7.16,8.19,0.00) | range=10.60 m
[INFO] [1790213561.672029217] [sage_target_localizer]: Person 3D | pixel=(704.1,537.3) | position=(-7.16,8.19,0.00) | range=10.60 m
[INFO] [1790213561.778423332] [sage_target_localizer]: Person 3D | pixel=(707.6,545.9) | position=(-7.34,8.42,0.00) | range=10.73 m
[INFO] [1790213561.870643378] [sage_target_localizer]: Person 3D | pixel=(707.6,545.9) | position=(-7.34,8.42,0.00) | range=10.73 m
[INFO] [1790213561.970947694] [sage_target_localizer]: Person 3D | pixel=(201.3,590.2) | position=(-0.13,4.51,0.00) | range=4.41 m
[INFO] [1790213562.072633289] [sage_target_localizer]: Person 3D | pixel=(201.3,590.2) | position=(-0.13,4.51,0.00) | range=4.41 m
[INFO] [1790213562.170408419] [sage_target_localizer]: Person 3D | pixel=(203.5,600.9) | position=(-0.14,4.54,0.00) | range=4.30 m
[INFO] [1790213562.273353645] [sage_target_localizer]: Person 3D | pixel=(203.5,600.9) | position=(-0.14,4.54,0.00) | range=4.30 m
[INFO] [1790213562.368629072] [sage_target_localizer]: Person 3D | pixel=(203.5,600.9) | position=(-0.14,4.54,0.00) | range=4.30 m
[INFO] [1790213562.468778276] [sage_target_localizer]: Person 3D | pixel=(203.5,600.9) | position=(-0.14,4.54,0.00) | range=4.30 m
[INFO] [1790213562.576508639] [sage_target_localizer]: Person 3D | pixel=(730.2,562.6) | position=(-7.60,8.61,0.00) | range=10.73 m
[INFO] [1790213562.669864979] [sage_target_localizer]: Person 3D | pixel=(730.2,562.6) | position=(-7.60,8.61,0.00) | range=10.73 m
[INFO] [1790213562.771483848] [sage_target_localizer]: Person 3D | pixel=(730.2,562.6) | position=(-7.60,8.61,0.00) | range=10.73 m
[INFO] [1790213562.871876260] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213562.976683804] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.071353647] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.168589636] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.270414875] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.379511446] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.476215063] [sage_target_localizer]: Person 3D | pixel=(246.0,628.1) | position=(-0.17,4.50,0.00) | range=3.82 m
[INFO] [1790213563.571660808] [sage_target_localizer]: Person 3D | pixel=(289.3,623.4) | position=(-0.19,4.74,0.00) | range=3.92 m
[INFO] [1790213563.671793571] [sage_target_localizer]: Person 3D | pixel=(289.3,623.4) | position=(-0.19,4.74,0.00) | range=3.92 m
[INFO] [1790213563.776462429] [sage_target_localizer]: Person 3D | pixel=(385.0,615.2) | position=(-0.32,4.86,0.00) | range=3.94 m
[INFO] [1790213563.869128653] [sage_target_localizer]: Person 3D | pixel=(385.0,615.2) | position=(-0.32,4.86,0.00) | range=3.94 m
[INFO] [1790213563.970479215] [sage_target_localizer]: Person 3D | pixel=(422.4,604.8) | position=(-0.39,5.04,0.00) | range=4.14 m
[INFO] [1790213564.077754794] [sage_target_localizer]: Person 3D | pixel=(422.4,604.8) | position=(-0.39,5.04,0.00) | range=4.14 m
[INFO] [1790213564.173852813] [sage_target_localizer]: Person 3D | pixel=(422.4,604.8) | position=(-0.39,5.04,0.00) | range=4.14 m
[INFO] [1790213564.268572616] [sage_target_localizer]: Person 3D | pixel=(450.0,598.5) | position=(-0.42,5.04,0.00) | range=4.21 m
[INFO] [1790213564.375824402] [sage_target_localizer]: Person 3D | pixel=(450.0,598.5) | position=(-0.42,5.04,0.00) | range=4.21 m
[INFO] [1790213564.468058094] [sage_target_localizer]: Person 3D | pixel=(474.3,596.4) | position=(-0.38,4.81,0.00) | range=4.07 m
[INFO] [1790213564.569114534] [sage_target_localizer]: Person 3D | pixel=(474.3,596.4) | position=(-0.38,4.81,0.00) | range=4.07 m
[INFO] [1790213564.673328991] [sage_target_localizer]: Person 3D | pixel=(490.0,584.4) | position=(-0.49,5.26,0.00) | range=4.64 m
[INFO] [1790213564.768687495] [sage_target_localizer]: Person 3D | pixel=(490.0,584.4) | position=(-0.49,5.26,0.00) | range=4.64 m
[INFO] [1790213564.868954978] [sage_target_localizer]: Person 3D | pixel=(490.0,584.4) | position=(-0.49,5.26,0.00) | range=4.64 m
[INFO] [1790213564.972839902] [sage_target_localizer]: Person 3D | pixel=(492.2,580.9) | position=(-0.43,5.21,0.00) | range=4.66 m
[INFO] [1790213565.068667519] [sage_target_localizer]: Person 3D | pixel=(492.2,580.9) | position=(-0.43,5.21,0.00) | range=4.66 m
[INFO] [1790213565.169605872] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[INFO] [1790213565.276283836] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[INFO] [1790213565.376533594] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[INFO] [1790213565.471104976] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[INFO] [1790213565.571741461] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[INFO] [1790213565.670641743] [sage_target_localizer]: Person 3D | pixel=(503.1,569.1) | position=(-0.42,5.16,0.00) | range=4.81 m
[WARN] [1790213565.768672093] [sage_target_localizer]: 3D localization skipped: ray too close to horizontal/upward | bbox_center_y=448.0 | bbox_height=97.4 | anchor_v=487.0 | cy=480.0 | ray_y=0.0124 | ned_z=0.0467
[WARN] [1790213565.871909360] [sage_target_localizer]: 3D localization skipped: ray too close to horizontal/upward | bbox_center_y=448.0 | bbox_height=97.4 | anchor_v=487.0 | cy=480.0 | ray_y=0.0124 | ned_z=0.0467
[WARN] [1790213565.968528762] [sage_target_localizer]: 3D localization skipped: ray too close to horizontal/upward | bbox_center_y=448.0 | bbox_height=97.4 | anchor_v=487.0 | cy=480.0 | ray_y=0.0124 | ned_z=0.0467
[INFO] [1790213566.072701797] [sage_target_localizer]: Person 3D | pixel=(486.3,540.2) | position=(-0.39,5.36,0.00) | range=5.50 m
[INFO] [1790213566.172514506] [sage_target_localizer]: Person 3D | pixel=(486.3,540.2) | position=(-0.39,5.36,0.00) | range=5.50 m
[INFO] [1790213566.269444611] [sage_target_localizer]: Person 3D | pixel=(486.3,540.2) | position=(-0.39,5.36,0.00) | range=5.50 m
[INFO] [1790213566.372177707] [sage_target_localizer]: Person 3D | pixel=(461.1,534.6) | position=(-0.24,5.10,0.00) | range=5.46 m
[INFO] [1790213566.476946286] [sage_target_localizer]: Person 3D | pixel=(461.1,534.6) | position=(-0.24,5.10,0.00) | range=5.46 m
[INFO] [1790213566.573354177] [sage_target_localizer]: Person 3D | pixel=(461.1,534.6) | position=(-0.24,5.10,0.00) | range=5.46 m
[INFO] [1790213566.670706973] [sage_target_localizer]: Person 3D | pixel=(744.8,460.8) | position=(-8.98,10.41,0.00) | range=14.59 m
