[INFO] [1790213546.763199234] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790213546.764080676] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790213546.764858448] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790213546.765689102] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790213546.769769363] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790213546.770579461] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790213546.771464778] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790213556.977359332] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.32, 4.43, 0.00) | state=STATIONARY
[INFO] [1790213557.074540145] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.32, 4.43, 0.00) | smoothed=(-0.32, 4.43, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790213557.177466119] [sage_semantic_world_model]: Target 1 updated | association_distance=0.19 m | raw=(-0.17, 4.31, 0.00) | smoothed=(-0.28, 4.40, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790213557.278015895] [sage_semantic_world_model]: Target 1 updated | association_distance=0.15 m | raw=(-0.17, 4.31, 0.00) | smoothed=(-0.25, 4.38, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790213557.376680983] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.17, 4.31, 0.00) | smoothed=(-0.23, 4.36, 0.00) | velocity=(0.22, -0.17, 0.00) m/s | speed=0.28 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790213557.478710421] [sage_semantic_world_model]: Target 1 updated | association_distance=0.22 m | raw=(-0.22, 4.58, 0.00) | smoothed=(-0.23, 4.41, 0.00) | velocity=(0.23, -0.03, 0.00) m/s | speed=0.24 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790213557.577478816] [sage_semantic_world_model]: Target 1 updated | association_distance=0.16 m | raw=(-0.22, 4.58, 0.00) | smoothed=(-0.23, 4.45, 0.00) | velocity=(0.14, 0.14, 0.00) m/s | speed=0.20 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790213557.671056803] [sage_semantic_world_model]: Target 1 updated | association_distance=0.12 m | raw=(-0.22, 4.58, 0.00) | smoothed=(-0.22, 4.48, 0.00) | velocity=(0.08, 0.27, 0.00) m/s | speed=0.28 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790213557.780275624] [sage_semantic_world_model]: Target 1 updated | association_distance=0.24 m | raw=(-0.23, 4.73, 0.00) | smoothed=(-0.23, 4.55, 0.00) | velocity=(0.02, 0.46, 0.00) m/s | speed=0.46 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790213557.874198936] [sage_semantic_world_model]: Target 1 updated | association_distance=0.18 m | raw=(-0.23, 4.73, 0.00) | smoothed=(-0.23, 4.59, 0.00) | velocity=(0.00, 0.44, 0.00) m/s | speed=0.44 m/s | net=0.19 m | straightness=0.55 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790213557.971111536] [sage_semantic_world_model]: Target 1 updated | association_distance=0.14 m | raw=(-0.23, 4.73, 0.00) | smoothed=(-0.23, 4.63, 0.00) | velocity=(-0.01, 0.43, 0.00) m/s | speed=0.43 m/s | net=0.22 m | straightness=0.58 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790213558.071297107] [sage_semantic_world_model]: Target 1 updated | association_distance=0.44 m | raw=(-0.30, 5.06, 0.00) | smoothed=(-0.25, 4.73, 0.00) | velocity=(-0.06, 0.63, 0.00) m/s | speed=0.63 m/s | net=0.34 m | straightness=0.77 | direction=0.00 | state=STATIONARY | detections=12
