[INFO] [1790303387.873497485] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790303387.874617792] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790303387.875393793] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790303387.876147053] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790303387.876870414] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790303387.877618236] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790303387.878367061] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790303395.389626930] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-5.36, 6.92, 0.00) | state=STATIONARY
[INFO] [1790303395.490802532] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790303395.588634722] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790303395.691939267] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790303395.789825968] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790303395.894128774] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790303395.990155094] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790303396.087543060] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790303396.189083329] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790303396.291760807] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790303396.388110390] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790303396.491560844] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-5.36, 6.92, 0.00) | smoothed=(-5.36, 6.92, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790303396.589082479] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-0.54, 6.18, 0.00) | state=STATIONARY
[INFO] [1790303396.697254802] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.54, 6.18, 0.00) | smoothed=(-0.54, 6.18, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790303396.796579616] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-0.54, 6.18, 0.00) | smoothed=(-0.54, 6.18, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790303396.895638581] [sage_semantic_world_model]: Target 2 updated | association_distance=0.02 m | raw=(-0.52, 6.16, 0.00) | smoothed=(-0.53, 6.18, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790303396.992735015] [sage_semantic_world_model]: Target 2 updated | association_distance=0.24 m | raw=(-0.45, 6.40, 0.00) | smoothed=(-0.51, 6.23, 0.00) | velocity=(0.06, 0.13, 0.00) m/s | speed=0.14 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790303397.096049868] [sage_semantic_world_model]: Target 2 updated | association_distance=0.18 m | raw=(-0.45, 6.40, 0.00) | smoothed=(-0.49, 6.28, 0.00) | velocity=(0.10, 0.24, 0.00) m/s | speed=0.26 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790303397.192205564] [sage_semantic_world_model]: Target 2 updated | association_distance=0.14 m | raw=(-0.45, 6.40, 0.00) | smoothed=(-0.48, 6.31, 0.00) | velocity=(0.13, 0.32, 0.00) m/s | speed=0.34 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790303397.300656395] [sage_semantic_world_model]: Target 2 updated | association_distance=0.06 m | raw=(-0.44, 6.35, 0.00) | smoothed=(-0.47, 6.32, 0.00) | velocity=(0.15, 0.35, 0.00) m/s | speed=0.38 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790303397.391589473] [sage_semantic_world_model]: Target 2 updated | association_distance=0.05 m | raw=(-0.44, 6.35, 0.00) | smoothed=(-0.46, 6.33, 0.00) | velocity=(0.12, 0.23, 0.00) m/s | speed=0.26 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790303397.493251850] [sage_semantic_world_model]: Target 2 updated | association_distance=0.04 m | raw=(-0.44, 6.35, 0.00) | smoothed=(-0.46, 6.33, 0.00) | velocity=(0.10, 0.14, 0.00) m/s | speed=0.17 m/s | net=0.17 m | straightness=0.94 | direction=0.00 | state=STATIONARY | detections=10
