[INFO] [1790289108.466630704] [sage_target_localizer]: SAGE 3D target localizer started.
[INFO] [1790289108.468941664] [sage_target_localizer]: BBox anchor fraction = 0.90
[INFO] [1790289108.469716713] [sage_target_localizer]: Minimum camera height = 0.30 m
[INFO] [1790289108.470513436] [sage_target_localizer]: Minimum downward ray component = 0.050
[INFO] [1790289108.471319850] [sage_target_localizer]: Waiting for camera/PX4 data...
[INFO] [1790289117.358010411] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.454689810] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.554369873] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.657533992] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.755256551] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.858520255] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289117.955485630] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289118.055038415] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289118.159971845] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289118.256605629] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289118.354620718] [sage_target_localizer]: Person 3D | pixel=(664.5,658.1) | position=(-0.37,6.21,0.00) | range=6.14 m
[INFO] [1790289118.464499642] [sage_target_localizer]: Person 3D | pixel=(662.5,674.2) | position=(-0.30,5.92,0.00) | range=5.85 m
[INFO] [1790289118.555047373] [sage_target_localizer]: Person 3D | pixel=(662.5,674.2) | position=(-0.30,5.92,0.00) | range=5.85 m
[INFO] [1790289118.654562453] [sage_target_localizer]: Person 3D | pixel=(900.2,562.0) | position=(-8.68,18.08,0.00) | range=19.97 m
[INFO] [1790289118.756750119] [sage_target_localizer]: Person 3D | pixel=(900.2,562.0) | position=(-8.68,18.08,0.00) | range=19.97 m
[INFO] [1790289118.858501473] [sage_target_localizer]: Person 3D | pixel=(909.9,566.6) | position=(-8.41,16.95,0.00) | range=18.85 m
[INFO] [1790289118.955588121] [sage_target_localizer]: Person 3D | pixel=(909.9,566.6) | position=(-8.41,16.95,0.00) | range=18.85 m
[INFO] [1790289119.056411151] [sage_target_localizer]: Person 3D | pixel=(911.4,566.8) | position=(-8.47,16.99,0.00) | range=18.90 m
[INFO] [1790289119.159592518] [sage_target_localizer]: Person 3D | pixel=(911.4,566.8) | position=(-8.47,16.99,0.00) | range=18.90 m
[INFO] [1790289119.257242567] [sage_target_localizer]: Person 3D | pixel=(672.6,677.8) | position=(-0.37,5.92,0.00) | range=5.84 m
[INFO] [1790289119.359513351] [sage_target_localizer]: Person 3D | pixel=(672.6,677.8) | position=(-0.37,5.92,0.00) | range=5.84 m
[INFO] [1790289119.457929925] [sage_target_localizer]: Person 3D | pixel=(675.6,677.8) | position=(-0.40,5.94,0.00) | range=5.85 m
[INFO] [1790289119.556863979] [sage_target_localizer]: Person 3D | pixel=(675.6,677.8) | position=(-0.40,5.94,0.00) | range=5.85 m
[INFO] [1790289119.659116524] [sage_target_localizer]: Person 3D | pixel=(675.6,677.8) | position=(-0.40,5.94,0.00) | range=5.85 m
[INFO] [1790289119.756263854] [sage_target_localizer]: Person 3D | pixel=(675.8,677.3) | position=(-0.40,5.98,0.00) | range=5.89 m
[INFO] [1790289119.858397115] [sage_target_localizer]: Person 3D | pixel=(675.8,677.3) | position=(-0.40,5.98,0.00) | range=5.89 m
[INFO] [1790289119.963577886] [sage_target_localizer]: Person 3D | pixel=(678.3,678.5) | position=(-0.43,5.94,0.00) | range=5.84 m
[INFO] [1790289120.054992689] [sage_target_localizer]: Person 3D | pixel=(678.3,678.5) | position=(-0.43,5.94,0.00) | range=5.84 m
[INFO] [1790289120.157468024] [sage_target_localizer]: Person 3D | pixel=(678.3,678.5) | position=(-0.43,5.94,0.00) | range=5.84 m
[INFO] [1790289120.254605122] [sage_target_localizer]: Person 3D | pixel=(678.9,681.3) | position=(-0.44,5.82,0.00) | range=5.73 m
[INFO] [1790289120.357896372] [sage_target_localizer]: Person 3D | pixel=(678.9,681.3) | position=(-0.44,5.82,0.00) | range=5.73 m
[INFO] [1790289120.459620514] [sage_target_localizer]: Person 3D | pixel=(676.0,683.1) | position=(-0.41,5.76,0.00) | range=5.67 m
[INFO] [1790289120.554970147] [sage_target_localizer]: Person 3D | pixel=(676.0,683.1) | position=(-0.41,5.76,0.00) | range=5.67 m
[INFO] [1790289120.656058512] [sage_target_localizer]: Person 3D | pixel=(676.2,687.0) | position=(-0.41,5.66,0.00) | range=5.57 m
[INFO] [1790289120.755801535] [sage_target_localizer]: Person 3D | pixel=(676.2,687.0) | position=(-0.41,5.66,0.00) | range=5.57 m
[INFO] [1790289120.856088025] [sage_target_localizer]: Person 3D | pixel=(1218.2,596.5) | position=(-13.51,12.75,0.00) | range=18.51 m
[INFO] [1790289120.960326856] [sage_target_localizer]: Person 3D | pixel=(1218.2,596.5) | position=(-13.51,12.75,0.00) | range=18.51 m
[INFO] [1790289121.057907857] [sage_target_localizer]: Person 3D | pixel=(1215.9,599.5) | position=(-11.81,11.21,0.00) | range=16.21 m
[INFO] [1790289121.154815318] [sage_target_localizer]: Person 3D | pixel=(1215.9,599.5) | position=(-11.81,11.21,0.00) | range=16.21 m
[INFO] [1790289121.256614343] [sage_target_localizer]: Person 3D | pixel=(1214.8,600.4) | position=(-13.18,12.49,0.00) | range=18.07 m
[INFO] [1790289121.354286731] [sage_target_localizer]: Person 3D | pixel=(1214.8,600.4) | position=(-13.18,12.49,0.00) | range=18.07 m
