[INFO] [1790221829.301497674] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790221829.303447414] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790221829.304221545] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790221829.304866436] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790221829.306657576] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790221829.308131660] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790221829.309045147] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790221836.295313653] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.35, 5.72, 0.00) | state=STATIONARY
[INFO] [1790221836.394049031] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790221836.495881402] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790221836.593862080] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790221836.698546758] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790221836.792236591] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790221836.892756807] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790221836.997144610] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790221837.093991751] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790221837.194763858] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.35, 5.72, 0.00) | smoothed=(-0.35, 5.72, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790221837.290360651] [sage_semantic_world_model]: Target 1 updated | association_distance=1.24 m | raw=(-0.28, 4.48, 0.00) | smoothed=(-0.33, 5.41, 0.00) | velocity=(0.04, -0.77, 0.00) m/s | speed=0.78 m/s | net=0.31 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790221837.393074816] [sage_semantic_world_model]: Target 1 updated | association_distance=0.93 m | raw=(-0.28, 4.48, 0.00) | smoothed=(-0.32, 5.17, 0.00) | velocity=(0.08, -1.36, 0.00) m/s | speed=1.36 m/s | net=0.54 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=12
[INFO] [1790221837.492562055] [sage_semantic_world_model]: NEW TARGET | id=2 | class=person | position=(-8.31, 9.42, 0.00) | state=STATIONARY
[INFO] [1790221837.595222603] [sage_semantic_world_model]: Target 2 updated | association_distance=0.00 m | raw=(-8.31, 9.42, 0.00) | smoothed=(-8.31, 9.42, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
