[INFO] [1790308926.784766233] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790308926.785653027] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790308926.786401267] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790308926.792186283] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790308926.792886355] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790308926.796831289] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790308926.800439552] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790308938.708297319] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.67, 4.66, 0.00) | state=STATIONARY
[INFO] [1790308938.810205950] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790308938.907271667] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790308939.009286470] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790308939.106257441] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790308939.208270629] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790308939.306276242] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790308939.414733589] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.67, 4.66, 0.00) | smoothed=(-0.67, 4.66, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790308939.505067668] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.69, 4.68, 0.00) | velocity=(-0.06, 0.03, 0.00) m/s | speed=0.07 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790308939.609708342] [sage_semantic_world_model]: Target 1 updated | association_distance=0.09 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.71, 4.69, 0.00) | velocity=(-0.11, 0.05, 0.00) m/s | speed=0.13 m/s | net=0.05 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790308939.704714414] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.73, 4.69, 0.00) | velocity=(-0.15, 0.07, 0.00) m/s | speed=0.17 m/s | net=0.07 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790308939.803656698] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.74, 4.70, 0.00) | velocity=(-0.18, 0.08, 0.00) m/s | speed=0.20 m/s | net=0.08 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790308939.905031534] [sage_semantic_world_model]: Target 1 updated | association_distance=0.04 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.75, 4.70, 0.00) | velocity=(-0.13, 0.06, 0.00) m/s | speed=0.15 m/s | net=0.09 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790308940.005194663] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.75, 4.70, 0.00) | velocity=(-0.10, 0.05, 0.00) m/s | speed=0.11 m/s | net=0.09 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=14
[INFO] [1790308940.104884940] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.77, 4.71, 0.00) | smoothed=(-0.76, 4.71, 0.00) | velocity=(-0.07, 0.03, 0.00) m/s | speed=0.08 m/s | net=0.10 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=15
[INFO] [1790308940.211652218] [sage_semantic_world_model]: Target 1 updated | association_distance=0.11 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.77, 4.68, 0.00) | velocity=(-0.09, -0.03, 0.00) m/s | speed=0.10 m/s | net=0.11 m | straightness=0.86 | direction=0.00 | state=STATIONARY | detections=16
[INFO] [1790308940.309457183] [sage_semantic_world_model]: Target 1 updated | association_distance=0.08 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.79, 4.67, 0.00) | velocity=(-0.10, -0.08, 0.00) m/s | speed=0.13 m/s | net=0.12 m | straightness=0.82 | direction=0.00 | state=STATIONARY | detections=17
[INFO] [1790308940.404601544] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.80, 4.66, 0.00) | velocity=(-0.11, -0.12, 0.00) m/s | speed=0.16 m/s | net=0.11 m | straightness=0.79 | direction=0.00 | state=STATIONARY | detections=18
[INFO] [1790308940.508350787] [sage_semantic_world_model]: Target 1 updated | association_distance=0.05 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.80, 4.65, 0.00) | velocity=(-0.12, -0.14, 0.00) m/s | speed=0.19 m/s | net=0.10 m | straightness=0.80 | direction=0.00 | state=STATIONARY | detections=19
[INFO] [1790308940.605886003] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.81, 4.64, 0.00) | velocity=(-0.09, -0.11, 0.00) m/s | speed=0.14 m/s | net=0.10 m | straightness=0.83 | direction=0.00 | state=STATIONARY | detections=20
[INFO] [1790308940.702311724] [sage_semantic_world_model]: Target 1 updated | association_distance=0.03 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.81, 4.64, 0.00) | velocity=(-0.07, -0.08, 0.00) m/s | speed=0.10 m/s | net=0.10 m | straightness=0.88 | direction=0.00 | state=STATIONARY | detections=21
[INFO] [1790308940.804568497] [sage_semantic_world_model]: Target 1 updated | association_distance=0.02 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.82, 4.63, 0.00) | velocity=(-0.05, -0.06, 0.00) m/s | speed=0.08 m/s | net=0.10 m | straightness=0.92 | direction=0.00 | state=STATIONARY | detections=22
[INFO] [1790308940.903487178] [sage_semantic_world_model]: Target 1 updated | association_distance=0.01 m | raw=(-0.83, 4.62, 0.00) | smoothed=(-0.82, 4.63, 0.00) | velocity=(-0.04, -0.05, 0.00) m/s | speed=0.06 m/s | net=0.10 m | straightness=0.96 | direction=0.00 | state=STATIONARY | detections=23
[INFO] [1790308941.008660087] [sage_semantic_world_model]: Target 1 updated | association_distance=0.06 m | raw=(-0.86, 4.58, 0.00) | smoothed=(-0.83, 4.62, 0.00) | velocity=(-0.05, -0.06, 0.00) m/s | speed=0.08 m/s | net=0.11 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=24
