[INFO] [1790225308.133479297] [sage_semantic_world_model]: SAGE Semantic World Model started.
[INFO] [1790225308.138397703] [sage_semantic_world_model]: Position smoothing enabled | alpha=0.25
[INFO] [1790225308.139201910] [sage_semantic_world_model]: Target association enabled | gate=2.00 m
[INFO] [1790225308.139974713] [sage_semantic_world_model]: Velocity estimation enabled | window=5 observations
[INFO] [1790225308.140789736] [sage_semantic_world_model]: Persistent motion classification enabled | classification_window=10 observations
[INFO] [1790225308.141505424] [sage_semantic_world_model]: Motion requirements | net_displacement>=0.50 m | avg_speed>=0.20 m/s | straightness>=0.70 | direction_consistency>=0.70
[INFO] [1790225308.142176338] [sage_semantic_world_model]: Motion confirmation required | 3 consecutive strong windows
[INFO] [1790225315.612615994] [sage_semantic_world_model]: NEW TARGET | id=1 | class=person | position=(-0.76, 6.07, 0.00) | state=STATIONARY
[INFO] [1790225315.713817047] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=2
[INFO] [1790225315.808945698] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=3
[INFO] [1790225315.908405408] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=4
[INFO] [1790225316.015674303] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=5
[INFO] [1790225316.108451239] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=6
[INFO] [1790225316.221439003] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=7
[INFO] [1790225316.312331798] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=8
[INFO] [1790225316.418707421] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=9
[INFO] [1790225316.511608413] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=10
[INFO] [1790225316.613299396] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=11
[INFO] [1790225316.709877035] [sage_semantic_world_model]: Target 1 updated | association_distance=0.00 m | raw=(-0.76, 6.07, 0.00) | smoothed=(-0.76, 6.07, 0.00) | velocity=(0.00, 0.00, 0.00) m/s | speed=0.00 m/s | net=0.00 m | straightness=0.00 | direction=0.00 | state=STATIONARY | detections=12
[INFO] [1790225316.821543391] [sage_semantic_world_model]: Target 1 updated | association_distance=1.16 m | raw=(-0.88, 7.23, 0.00) | smoothed=(-0.79, 6.36, 0.00) | velocity=(-0.07, 0.71, 0.00) m/s | speed=0.72 m/s | net=0.29 m | straightness=1.00 | direction=0.00 | state=STATIONARY | detections=13
[INFO] [1790225316.914192410] [sage_semantic_world_model]: Target 1 updated | association_distance=0.87 m | raw=(-0.88, 7.23, 0.00) | smoothed=(-0.81, 6.58, 0.00) | velocity=(-0.12, 1.26, 0.00) m/s | speed=1.26 m/s | net=0.51 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=14
[INFO] [1790225317.013168116] [sage_semantic_world_model]: Target 1 updated | association_distance=0.65 m | raw=(-0.88, 7.23, 0.00) | smoothed=(-0.83, 6.74, 0.00) | velocity=(-0.17, 1.68, 0.00) m/s | speed=1.69 m/s | net=0.67 m | straightness=1.00 | direction=1.00 | state=STATIONARY | detections=15
[INFO] [1790225317.107756511] [sage_semantic_world_model]: Target 1 confirmed MOVING | net=0.81 m | avg_speed=0.91 m/s | straightness=1.00 | direction=1.00
[INFO] [1790225317.113647359] [sage_semantic_world_model]: Target 1 updated | association_distance=0.57 m | raw=(-0.89, 7.31, 0.00) | smoothed=(-0.84, 6.88, 0.00) | velocity=(-0.20, 2.03, 0.00) m/s | speed=2.04 m/s | net=0.81 m | straightness=1.00 | direction=1.00 | state=MOVING | detections=16
[INFO] [1790225317.211645858] [sage_semantic_world_model]: Target 1 updated | association_distance=0.42 m | raw=(-0.89, 7.31, 0.00) | smoothed=(-0.85, 6.99, 0.00) | velocity=(-0.16, 1.58, 0.00) m/s | speed=1.59 m/s | net=0.92 m | straightness=1.00 | direction=1.00 | state=MOVING | detections=17
[INFO] [1790225317.311484925] [sage_semantic_world_model]: Target 1 updated | association_distance=0.48 m | raw=(-0.91, 7.46, 0.00) | smoothed=(-0.87, 7.11, 0.00) | velocity=(-0.14, 1.33, 0.00) m/s | speed=1.34 m/s | net=1.04 m | straightness=1.00 | direction=1.00 | state=MOVING | detections=18
